	name
120516	spring
120712	spring
130403	spring
130416	spring
130422	spring
130507	spring
130605	spring
140408	spring
121220	winter
130123	winter
130226	winter
120813	summer
120927	fall
121024	fall
130905	fall
131003	fall
130705	summer
130815	summer
140604	summer
140709	summer
140820	summer
