	total_counts
120516	1531909
120613	1900421
120712	2266174
120813	1646330
120927	3306861
121024	2835610
121220	2209800
130123	4129848
130226	1659973
130403	1406092
130416	2059741
130422	2326226
130507	978288
130605	3023835
130705	1818932
130815	1101590
130905	1553408
131003	1613574
140408	1115089
140506	7372266
140604	1067277
140709	2027547
140820	1984334
140916	1460895
141013	2184839
