baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	groups	transporter	p_total_adj
85.1554827733669	-0.426791221304751	0.377802497797689	-1.12966754797184	0.258616336471757	0.437658415567588	spring vs fall	T37	0.426854410742097
731.095317737313	0.680053089924913	0.281605480320363	2.41491425930796	0.0157389141112302	0.0494651586352949	spring vs fall	T7	0.0651621422118098
551.295584614811	0.211351263715377	0.294087589220116	0.718667742069136	0.472345663422298	0.620168679401159	spring vs fall	T71	0.617323045264786
570.124882968229	1.77099536037013	0.389899166081497	4.54218812050487	5.56733253798946e-06	4.08271052785894e-05	spring vs fall	T56	0.000146977579002922
362.446447261584	0.452953988347857	0.640167311854391	0.707555634222828	0.479221252264532	0.620168679401159	spring vs fall	T18	0.620168679401159
509.898863186637	0.105542457539903	0.201680384419507	0.523315432205686	0.60075476352106	0.695610778813859	spring vs fall	T5	0.734255822081296
153.685897355942	0.392030925075052	0.310457941925342	1.26275051185299	0.206678854812729	0.378911233823337	spring vs fall	T67	0.358968537306319
179.074469488257	-0.45067725225868	0.355663723226466	-1.26714427934983	0.205103705244036	0.378911233823337	spring vs fall	T40	0.358968537306319
207.670869755016	-0.0233215036254955	0.264549201137694	-0.0881556380635487	0.929752975683188	0.929752975683188	spring vs fall	T388	0.936850326642601
272.914547407772	-0.319441501014442	0.343162376008568	-0.930875653473346	0.351917889804933	0.553013826836324	spring vs fall	T761	0.516146238380569
180.68299528183	1.05810056132863	0.425316062890013	2.48779826028403	0.0128536623005545	0.0471300951020331	spring vs fall	T12	0.0605958365597568
183.852684916838	0.163570246211262	0.248108512400334	0.659268981256612	0.509723057395832	0.622994847928239	spring vs fall	T35	0.65323731627427
277.397877779911	0.190855465510401	0.26522970936268	0.719585547067888	0.471780213343688	0.620168679401159	spring vs fall	T27	0.617323045264786
344.347737796329	0.355448227334461	0.275833884018655	1.28863148412333	0.197526232476185	0.378911233823337	spring vs fall	T724	0.352344090362924
93.1189707744881	-0.618870046279014	0.272917609657651	-2.26760760163233	0.023353133955802	0.0642211183784556	spring vs fall	T60	0.0751856995650212
4017.55263581908	-0.179426027488612	0.447854066968837	-0.400635029850242	0.688688851145537	0.757557736260091	spring vs fall	T1059	0.790495029140964
734.664612232324	0.0436299570438286	0.254251012925372	0.171601900585682	0.863750513169071	0.904881489986646	spring vs fall	T59	0.890742716705604
787.61684285842	-0.579532630423036	0.367650806668315	-1.5763126856019	0.11495375954227	0.280998078881104	spring vs fall	T133	0.237394963286725
182.080757006724	1.43409947174957	0.480201881585383	2.98645117135922	0.00282235906500558	0.0155229748575307	spring vs fall	T154	0.023284462286296
84.6791400962363	-1.56858263301013	0.310748554315651	-5.04775520666399	4.47031410849696e-07	9.8346910386933e-06	spring vs fall	T109	2.40103796197192e-05
538.876559456605	-1.33164114863683	0.290641554583467	-4.5817300645301	4.61144902306071e-06	4.08271052785894e-05	spring vs fall	T3	0.000146977579002922
120.40491977992	-1.32007534665447	0.471601131501583	-2.79913524051847	0.00512396717003327	0.0225454555481464	spring vs fall	T317	0.0338181833222196
108.680250248575	0.293934251999745	0.297752541466163	0.987176299326894	0.323556218487385	0.528070935994946	summer vs fall	T37	0.490912883222239
411.724371240949	-0.253958199294367	0.25643218291895	-0.990352288872551	0.322001957046722	0.528070935994946	summer vs fall	T7	0.490912883222239
408.667459622823	-0.187102653832151	0.319519892455702	-0.585574351550244	0.558161588437974	0.682197496979746	summer vs fall	T71	0.695831911528647
277.552070945859	0.584023289400411	0.370649451663586	1.57567557911967	0.11510058826023	0.373860036202793	summer vs fall	T56	0.237394963286725
216.067158153129	-0.0792038133901357	0.394007214688455	-0.201021226103088	0.840681976805927	0.840681976805927	summer vs fall	T18	0.880714451891923
564.177027684978	0.424029946846104	0.28438398716229	1.49104719670494	0.135949104073743	0.373860036202793	summer vs fall	T5	0.256361167681915
125.328983536419	0.232242130832054	0.270504199266716	0.858552774639423	0.390587302318835	0.528070935994946	summer vs fall	T67	0.560407868544415
168.771888715919	-0.272927659779174	0.329161934669573	-0.829159240582148	0.407014305593964	0.528070935994946	summer vs fall	T40	0.56107536949463
328.513231894314	0.882705113176055	0.305888094688613	2.88571254816121	0.00390528663216555	0.060429838608255	summer vs fall	T388	0.0286387686358807
352.346431797659	0.308453753766615	0.312033283213134	0.988528372968231	0.322893945889764	0.528070935994946	summer vs fall	T761	0.490912883222239
156.578762460214	0.893914161761867	0.321949364906455	2.77656755751514	0.00549362169165954	0.060429838608255	summer vs fall	T12	0.0341168780518969
164.246258753793	0.111913133256155	0.261367355362368	0.428183286703862	0.668517683445098	0.735369451789608	summer vs fall	T35	0.774073107146956
187.435343717848	-0.435472421584385	0.237834536072766	-1.8309890093134	0.0671021835541965	0.295249607638465	summer vs fall	T27	0.153960154400563
205.021609695974	-0.555496095794462	0.261569466077869	-2.12370390215611	0.0336949108938097	0.247096013221271	summer vs fall	T724	0.101084732681429
103.080298527905	-0.0866080753385471	0.257363689269518	-0.336520181166073	0.736478635704771	0.771549046928808	summer vs fall	T60	0.810623661942182
3288.81648356714	-0.400043545924817	0.354186978657487	-1.12946994110609	0.258699642873998	0.528070935994946	summer vs fall	T1059	0.426854410742097
497.928768629795	-0.510128692452241	0.328070411887906	-1.55493660497046	0.119961168363085	0.373860036202793	summer vs fall	T59	0.241418344046452
1288.82745630688	0.333493064464866	0.401802492510072	0.829992522897321	0.406543011140593	0.528070935994946	summer vs fall	T133	0.56107536949463
