	org_acids	simple_sugars	cpdom	peptides
120516	228.19722368034542	14.198911034620998	156.65355373035334	284.7651736186554
120613	172.4250174341876	3.6502314158650004	82.95219912208758	100.8488887186944
120712	260.53498159588855	33.05451097472701	234.02434104417236	314.18826221314396
120813	202.11404922392853	56.379562209524	500.5425451872613	324.2195164332079
120927	150.19878516341606	10.075553356958999	166.86396143226253	119.29990351461065
121024	202.3760149320312	21.182044621627	222.81946920516063	169.0689878547967
121220	318.8902422494679	37.576623743114006	175.8048143863008	254.92434049874106
130123	394.2168041131305	24.850149088189	236.88197901011966	252.71684081618503
130226	342.5898651512755	4.3969955643950005	176.6081024662205	285.00329805816125
130403	395.9785309009466	7.663129772312	112.4959616776035	337.47094900719094
130416	317.76155781442344	32.015916406894	205.85205468497767	381.2819903790679
130422	266.62065926285345	37.675083073733	274.3111291148439	412.09824766880905
130507	297.5626896120855	110.894217712008	221.095162564286	447.7843205015505
130605	283.38641334581104	23.003216153106	248.17430353614984	567.1403087080424
130705	437.59568586967316	30.086297876967997	181.91425116692972	265.9537597622181
130815	424.85293497801547	22.114993319507	292.4650957156484	270.620997265791
130905	216.2837329834515	16.658661169132003	321.17749106348606	278.7730689991753
131003	112.14712441501001	32.079829210154	153.9383976486215	214.395228308333
140408	124.6982860955565	9.741706263004998	119.99719653978367	267.2213386099261
140506	3.1937953914950006	0.0418299084084	7.1367192929937	25.637354589210588
140604	302.10338848727054	23.925686202030995	155.03719396262485	295.25820476260367
140709	519.7053266461603	81.73226038423	257.64119114165135	381.8580381127553
140820	373.591557270135	25.196012016734002	340.6212233818415	388.06068745703374
140916	255.68774047607752	19.264956181851	177.84812454252202	192.306766237092
141013	133.77453882263654	18.216589400973003	140.10700634366478	197.95288955702011
