transporter	substrate_category	type	name	abbreviation	120314	120322	120328	120403	120416	120419	120423	120516	120531	120604	120613	120619	120628	120705	120709	120717	120802	120806	120813	120820	120823	120828	120903	120920	120924	121001	121004	121015	121022	121028	121105	121128	121220
T3	phosphate	3a	pst: phosphate ABC transporter	PI	111.66566286365821	99.19660717950373	47.64189649962823	62.518603402444256	82.23996731724253	72.78057084389825	51.59108610892825	70.77034370550474	63.94374202239092	80.520627353331	73.92571826399126	147.55254120110988	125.09273546758124	168.67280226891498	95.38198214791723	116.25353470519626	112.94069566504922	79.9061065332065	130.04126229580717	163.34902813948045	189.66662439498288	130.28745363748453	156.3180960263315	140.47331690344913	113.3727719519499	159.1171501062138	143.64241798394923	152.46895349046082	123.88868137487201	94.32674459877074	124.773051481743	124.27638687808383	110.69531801782189
T5	carbohydrate	2a	dctM: TRAP transporter	CARB	268.6368210109852	335.4976035512418	102.24397376734399	124.49754186442753	175.45808068047694	213.43662277731136	139.2902960236615	261.8494921531241	158.02018980501538	222.77228085881555	213.53135652603657	325.45123916318846	314.85547533120643	152.65717676503843	152.86847477869347	202.90811916863487	209.40384846519984	152.42587725837043	152.98062824416382	216.74194321082697	184.0445167522687	122.01724754791796	145.358435072363	233.21170343634668	161.74192243003623	240.29641787518852	246.19777357881642	177.39756294270552	171.1271733846131	103.97329557633552	222.06954952487104	165.9485672168517	194.39547919890288
T7	AA peptide	2a	sodium/proline symporter	AA-PEP	78.06067394147446	91.44940277716222	49.805555136889055	64.459425466769	102.80210630513899	111.32348315411792	75.8817941415235	66.3504396220365	59.80672785017724	73.7194022212265	49.146528888511	91.83216422492838	121.13109133934702	79.98027131118802	42.473860270973006	51.805529876307	87.39934521926583	74.38441232187446	96.67022004646849	117.3426433249825	112.50538315392008	61.9694269121805	76.46311814162702	122.23579366612954	86.71449173429001	133.72689005834076	124.08291109551806	104.08657357326149	98.71591672942229	66.604495136448	133.0188168458735	112.96315897619509	133.28396154238433
T12	Cations	2a	cation transport protein	CAT	15.963680409761995	49.55061893513214	18.225840251869	17.61988346982	31.228516416357998	48.44921822686601	61.6588095868945	27.214956587891997	26.3969185488105	25.655146000902004	24.8340732416795	30.690816609433455	36.60601335314902	24.242417038805506	17.586664405388493	20.441307490924498	30.276627351181	27.165855649984998	24.463840221555756	28.244546353779505	40.07599677028381	18.900380812619503	20.014798523695003	33.41535501096375	38.028089250965444	39.3770174817517	34.866483962791996	33.009016995677705	26.437259534272496	17.6794827014105	49.2825652136625	34.301188054934485	35.72367429680738
T15	N-FIX	3d	rnf: electron transport complex	N-FIX	13.125817476745498	23.449093651883814	8.327091702309334	11.660653683017665	17.504769771611503	23.729525730193163	11.753553785273498	16.88959858118717	18.319794342487338	33.773424432022836	13.875544312208165	25.705290058303564	22.387495814410666	15.036245723948333	10.794990439071833	16.820381744113337	30.4428310592285	28.719564547550167	28.583149302807556	21.149501129307833	14.044969869433567	13.612153914793666	16.060545006809335	20.592712318912685	13.71693567548387	23.64031610481007	22.444391207166333	21.1287396235845	16.32311617370033	8.0729149479675	21.017874807273166	18.7699373300774	22.160290046516767
T18	Anions	3a	sulfate ABC transporter	ANI	0.29965598755899997	3.619715046308999	2.1836567243566667	0.6579235901046666	2.3991137028986667	5.482067588890001	2.769731055603333	1.32896920706	6.757270526543	1.77305956573	10.491552909091	4.386736385861333	3.5247285109986666	4.465986340911001	0.9485090475496666	1.06182878426	3.2204105642189997	4.1584843937630005	5.185438398296999	2.132749561162	1.5230593680839999	1.4925134735733332	1.6343567571833333	2.9600086539623334	1.2709767275511998	1.5299377692156666	1.3852375611206666	1.4767986272536666	2.0844169924853335	3.9024511138816664	1.402383070960333	1.3161324860746666	1.6265011584896667
T19	Cations	2a	multicomponent Na+:H+ antiporter	CAT	41.380173894539	11.772765405666	14.400171451611	2.80565469479	14.186231250560002	8.782447747974	11.38956884093	9.67860971226	3.57642845974	6.770654896769999	7.100200329347	6.812277522943999	14.44508107803	4.9887118484299995	12.663659178540001	24.56764071149	29.433207980603004	21.616934135530002	38.294775308188	16.047430800853	13.661243422292001	4.137384652070001	2.89238136633	14.565722227595998	17.810790491726998	14.660555241194999	26.34565357409	12.045512259173	9.201786472071	15.821286917794	15.70067606255	12.148266373144999	9.826384163850001
T27	Cations	9a	feoB: ferrous iron transport	CAT	80.97934213820602	107.07000452272223	47.459801659482984	61.544234994031	116.39603852888098	130.89264736026195	120.44043109103902	79.56528104287001	34.695352198106	48.846033294420984	32.742374855009	56.887111214884506	81.51706858538302	60.504624761894	60.33161630583099	100.89672189476103	51.322762662057	42.812570578042006	66.79276264078871	73.62056753003202	81.80960141139728	43.265881626589994	55.289141727562	83.60746757381386	85.7359762732714	98.48178276615464	99.08092437555298	89.91088533356137	73.76412279353792	44.326370410231	94.50188958592703	88.3155075783953	120.72947280993333
T28	nucleoside	2a	nupC: nucleoside transporter	NUC	7.083674672988001	39.6636101731492	4.196307959867	5.639336407442999	6.770371590711999	7.479628341254	9.905918743653	17.8608993117	13.142708189813	14.148393311739	1.718401482085	9.892295968992	9.89083049064	6.3973422104459985	7.4918472820840005	26.515483944399996	22.769740211467	12.696096269816	22.589102922898498	28.627167814234003	7.998058032554	2.351746324198	4.002270288816	7.3675498036555	9.911921230036498	9.786460470042	10.6071713273	9.2647287476196	12.142998684246999	6.456774300661	15.083592746478999	10.564320599539002	8.629811498156602
