	Node1	Node2
230	PF00474	TIGR00813
231	PF00474	TIGR02711
232	TIGR00813	TIGR02711
233	TIGR00813	PF00474
234	TIGR02711	TIGR00813
235	TIGR02711	PF00474
236	PF00474	TIGR00813
237	PF00474	TIGR02711
238	TIGR00813	TIGR02711
239	TIGR00813	PF00474
240	TIGR02711	TIGR00813
241	TIGR02711	PF00474
242	PF00474	TIGR00813
243	PF00474	TIGR02711
244	TIGR00813	TIGR02711
245	TIGR00813	PF00474
246	TIGR02711	TIGR00813
247	TIGR02711	PF00474
248	PF00474	TIGR00813
249	PF00474	TIGR02711
250	TIGR00813	TIGR02711
251	TIGR00813	PF00474
252	TIGR02711	TIGR00813
253	TIGR02711	PF00474
254	PF00474	TIGR00813
255	PF00474	TIGR02711
256	TIGR00813	TIGR02711
257	TIGR00813	PF00474
258	TIGR02711	TIGR00813
259	TIGR02711	PF00474
260	PF00474	TIGR00813
261	PF00474	TIGR02711
262	TIGR00813	TIGR02711
263	TIGR00813	PF00474
264	TIGR02711	TIGR00813
265	TIGR02711	PF00474
266	PF00474	TIGR00813
267	PF00474	TIGR02711
268	TIGR00813	TIGR02711
269	TIGR00813	PF00474
270	TIGR02711	TIGR00813
271	TIGR02711	PF00474
272	PF00474	TIGR00813
273	PF00474	TIGR02711
274	TIGR00813	TIGR02711
275	TIGR00813	PF00474
276	TIGR02711	TIGR00813
277	TIGR02711	PF00474
278	PF00474	TIGR00813
279	PF00474	TIGR02711
280	TIGR00813	TIGR02711
281	TIGR00813	PF00474
282	TIGR02711	TIGR00813
283	TIGR02711	PF00474
284	PF00474	TIGR00813
285	PF00474	TIGR02711
286	COG4147	TIGR00813
287	COG4147	TIGR02711
288	COG4147	PF00474
289	TIGR00813	COG4147
290	TIGR00813	TIGR02711
291	TIGR00813	PF00474
292	TIGR02711	COG4147
293	TIGR02711	TIGR00813
294	TIGR02711	PF00474
295	PF00474	COG4147
296	PF00474	TIGR00813
297	PF00474	TIGR02711
298	COG4147	TIGR00813
299	COG4147	TIGR02711
300	COG4147	PF00474
301	TIGR00813	COG4147
302	TIGR00813	TIGR02711
303	TIGR00813	PF00474
304	TIGR02711	COG4147
305	TIGR02711	TIGR00813
306	TIGR02711	PF00474
307	PF00474	COG4147
308	PF00474	TIGR00813
309	PF00474	TIGR02711
310	TIGR00813	TIGR02711
311	TIGR00813	PF00474
312	TIGR02711	TIGR00813
313	TIGR02711	PF00474
314	PF00474	TIGR00813
315	PF00474	TIGR02711
316	TIGR00813	TIGR02711
317	TIGR00813	PF00474
318	TIGR02711	TIGR00813
319	TIGR02711	PF00474
320	PF00474	TIGR00813
321	PF00474	TIGR02711
322	COG4147	TIGR00813
323	COG4147	TIGR02711
324	COG4147	PF00474
325	TIGR00813	COG4147
326	TIGR00813	TIGR02711
327	TIGR00813	PF00474
328	TIGR02711	COG4147
329	TIGR02711	TIGR00813
330	TIGR02711	PF00474
331	PF00474	COG4147
332	PF00474	TIGR00813
333	PF00474	TIGR02711
334	TIGR00813	TIGR02711
335	TIGR00813	PF00474
336	TIGR02711	TIGR00813
337	TIGR02711	PF00474
338	PF00474	TIGR00813
339	PF00474	TIGR02711
340	TIGR00813	TIGR02711
341	TIGR00813	PF00474
342	TIGR02711	TIGR00813
343	TIGR02711	PF00474
344	PF00474	TIGR00813
