T1	COG0559
T1	COG0697
T1	COG1129
T1	COG1172
T1	COG1879
T1	COG4177
T1	COG4214
T1	COG4975
T1	PF00892
T1	PF04142
T1	PF05025
T1	PF06800
T1	PF08449
T1	TIGR00803
T1	TIGR00950
T10	COG1347
T10	COG1726
T10	COG1805
T10	COG2209
T10	COG2869
T10	COG2871
T100	PF03821
T100	TIGR00799
T1000	COG0786
T1001	TIGR03644
T1002	PF12560
T1003	PF03818
T1004	PF06182
T1005	PF02592
T1006	COG1177
T1007	COG0411
T1008	TIGR00912
T1009	TIGR03924
T101	COG1566
T101	TIGR00998
T1010	TIGR01288
T1011	COG3297
T102	COG3090
T102	PF04290
T103	COG0306
T103	PF01384
T104	COG2271
T104	TIGR00881
T105	PF03137
T105	TIGR00805
T106	PF04995
T106	TIGR03141
T107	PF00909
T107	TIGR00836
T108	COG1137
T108	COG1934
T108	COG3117
T108	TIGR03002
T108	TIGR04406
T108	TIGR04407
T108	TIGR04408
T108	TIGR04409
T109	COG1859
T109	PF01885
T11	COG0577
T11	COG0845
T11	COG1136
T11	COG4591
T11	PF02687
T11	TIGR00439
T110	COG0310
T110	PF01891
T111	PF02064
T111	TIGR00985
T112	COG0534
T112	TIGR00797
T113	COG2274
T113	TIGR01846
T114	COG2215
T114	PF03824
T115	COG1914
T115	TIGR01197
T117	COG4178
T117	PF06472
T118	COG0795
T118	PF03739
T119	COG0475
T119	TIGR00932
T12	COG0765
T12	COG0834
T12	COG1126
T12	COG4160
T12	COG4215
T12	TIGR01726
T120	COG2211
T120	TIGR00792
T121	COG2270
T121	PF11700
T123	COG1596
T123	PF02563
T125	COG4789
T125	TIGR01399
T127	COG0841
T127	TIGR00915
T13	COG0755
T13	COG2386
T13	COG4133
T13a	TIGR01189
T13b	TIGR01190
T13c	TIGR01191
T130	COG4533
T130	PF12793
T132	COG3638
T132	PF05845
T132	PF05861
T132	PF06007
T132	PF06754
T132	TIGR01097
T132	TIGR02315
T132	TIGR02318
T132a	TIGR02323
T132a	TIGR02324
T132	TIGR03292
T132	TIGR03293
T132	TIGR03431
T134	PF01769
T135	COG1942
T136	TIGR03373
T137	PF13347
T138	COG4175
T139	COG4779
T14	COG4791
T14	COG4794
T14	PF01311
T14	PF01313
T14	TIGR01401
T14	TIGR01403
T140	TIGR03375
T141	COG4587
T142	COG2822
T143	COG3456
T144	TIGR03616
T145	COG3845
T146	COG3501
T147	PF03219
T148	TIGR00771
T149	COG4473
T15	COG0609
T15	COG1120
T15	COG4138
T15	COG4139
T15	PF01032
T15	PF05031
T15	TIGR03656
T15	TIGR03657
T15	TIGR03659
T150	COG4521
T151	TIGR04060
T152	TIGR00902
T153	PF06609
T154	PF11549
T155	PF12409
T156	PF15401
T157	TIGR04414
T157	TIGR04415
T158	TIGR01006
T159	COG1784
T16	COG0474
T16	PF00689
T16	PF12424
T16	TIGR01106
T16	TIGR01522
T16	TIGR01647
T160	PF03616
T161	TIGR03622
T162	PF04051
T163	TIGR03414
T163	TIGR03415
T163	TIGR03416
T164	PF11382
T165	PF08566
T166	PF12293
T167	PF03594
T168	PF16959
T169	TIGR03770
T169	TIGR03771
T169	TIGR03772
T169	TIGR03773
T17	TIGR01943
T17	TIGR01944
T17	TIGR01945
T17	TIGR01946
T17	TIGR01947
T17	TIGR01948
T170	PF16996
