TIGR00056	156
TIGR00210	142
TIGR00220	149
TIGR00345	156
TIGR00383	145
TIGR00400	145
TIGR00437	145
TIGR00439	93
TIGR00439	97
TIGR00637	129
TIGR00680	145
TIGR00681	145
TIGR00704	145
TIGR00711	94
TIGR00711	147
TIGR00712	147
TIGR00727	142
TIGR00733	142
TIGR00750	142
TIGR00750	263
TIGR00770	144
TIGR00771	144
TIGR00773	145
TIGR00774	145
TIGR00775	145
TIGR00776	144
TIGR00779	142
TIGR00784	144
TIGR00785	143
TIGR00785	145
TIGR00786	144
TIGR00787	144
TIGR00788	88
TIGR00790	143
TIGR00791	144
TIGR00792	144
TIGR00793	144
TIGR00794	145
TIGR00795	144
TIGR00796	142
TIGR00797	147
TIGR00799	141
TIGR00800	146
TIGR00801	146
TIGR00802	145
TIGR00804	146
TIGR00807	144
TIGR00808	144
TIGR00809	97
TIGR00811	147
TIGR00813	145
TIGR00814	142
TIGR00815	143
TIGR00816	144
TIGR00819	156
TIGR00820	145
TIGR00831	145
TIGR00833	141
TIGR00836	145
TIGR00837	142
TIGR00841	144
TIGR00842	147
TIGR00843	144
TIGR00844	145
TIGR00859	145
TIGR00860	145
TIGR00861	141
TIGR00862	143
TIGR00863	145
TIGR00868	143
TIGR00870	145
TIGR00879	144
TIGR00881	144
TIGR00882	144
TIGR00883	141
TIGR00885	144
TIGR00886	143
TIGR00887	143
TIGR00889	146
TIGR00890	144
TIGR00891	144
TIGR00892	144
TIGR00893	144
TIGR00894	143
TIGR00895	144
TIGR00896	147
TIGR00897	144
TIGR00898	145
TIGR00899	144
TIGR00901	149
TIGR00902	144
TIGR00905	142
TIGR00906	142
TIGR00907	142
TIGR00908	142
TIGR00909	142
TIGR00910	142
TIGR00911	142
TIGR00912	142
TIGR00913	142
TIGR00914	96
TIGR00914	145
TIGR00915	94
TIGR00915	141
TIGR00916	97
TIGR00921	141
TIGR00924	142
TIGR00926	142
TIGR00930	147
TIGR00931	145
TIGR00932	145
TIGR00933	145
TIGR00934	145
TIGR00935	96
TIGR00935	147
TIGR00937	143
TIGR00940	145
TIGR00941	145
TIGR00942	145
TIGR00943	145
TIGR00944	145
TIGR00946	147
TIGR00947	144
TIGR00948	142
TIGR00949	142
TIGR00950	142
TIGR00954	144
TIGR00955	147
TIGR00958	147
TIGR00966	97
TIGR00968	143
TIGR00969	143
TIGR00971	143
TIGR00972	143
TIGR00974	143
TIGR00975	143
TIGR00980	142
TIGR00983	142
TIGR00984	142
TIGR00985	142
TIGR00986	142
TIGR00989	142
TIGR00990	142
TIGR00993	142
TIGR00994	142
TIGR00995	142
TIGR00998	147
TIGR01000	147
TIGR01002	94
TIGR01005	144
TIGR01006	144
TIGR01010	144
TIGR01013	145
TIGR01097	143
TIGR01098	143
TIGR01102	97
TIGR01102	187
TIGR01106	111
TIGR01129	97
TIGR01165	145
TIGR01166	145
TIGR01183	143
TIGR01184	143
TIGR01184	147
TIGR01185	147
TIGR01186	142
TIGR01187	142
TIGR01188	147
TIGR01189	97
TIGR01189	147
TIGR01190	97
TIGR01190	147
TIGR01191	97
TIGR01191	147
TIGR01192	144
TIGR01193	97
TIGR01193	140
TIGR01193	147
TIGR01194	142
TIGR01194	147
TIGR01197	145
TIGR01247	147
TIGR01253	147
TIGR01254	147
TIGR01256	143
TIGR01257	147
TIGR01272	144
TIGR01276	147
TIGR01277	147
TIGR01288	92
TIGR01288	147
TIGR01291	92
TIGR01291	147
TIGR01297	145
TIGR01300	145
TIGR01352	145
TIGR01399	97
TIGR01399	187
TIGR01401	97
TIGR01401	187
TIGR01403	97
TIGR01403	187
TIGR01404	97
TIGR01404	187
TIGR01414	97
TIGR01414	187
TIGR01497	145
TIGR01528	147
TIGR01528	163
TIGR01593	97
TIGR01593	152
TIGR01625	141
TIGR01708	97
TIGR01708	187
TIGR01709	97
TIGR01710	97
TIGR01710	187
TIGR01713	97
TIGR01726	142
TIGR01727	142
TIGR01728	147
TIGR01730	141
TIGR01773	142
TIGR01776	145
TIGR01776	182
TIGR01778	145
TIGR01778	182
TIGR01779	147
TIGR01779	182
TIGR01782	182
TIGR01783	145
TIGR01783	182
TIGR01785	145
TIGR01785	182
TIGR01786	145
TIGR01786	182
TIGR01842	97
TIGR01843	97
TIGR01844	97
TIGR01844	182
TIGR01845	96
TIGR01845	182
TIGR01846	97
TIGR01943	112
TIGR01944	112
TIGR01945	112
TIGR01946	112
TIGR01947	112
TIGR01948	112
TIGR02052	96
TIGR02101	187
TIGR02105	97
TIGR02105	187
TIGR02115	145
TIGR02119	83
TIGR02119	147
TIGR02120	97
TIGR02121	142
TIGR02122	141
TIGR02123	141
TIGR02138	143
TIGR02139	143
