T1	PF05025
T1	COG0559
T1	COG4177
T1	PF02653
T1	PF06800
T1	COG1172
T1	COG1879
T1	COG4975
T1	TIGR02633
T1	COG4214
T1	COG1129
T2	PF02687
T2	COG1566
T2	TIGR00998
T2	COG1136
T2	COG0845
T2	TIGR01730
T2	COG0841
T2	TIGR00915
T2	COG4591
T2	COG0577
T3	COG0581
T3	COG1117
T3	COG0704
T3	COG0573
T3	COG0226
T3	TIGR00974
T3	TIGR00972
T3	TIGR02138
T3	TIGR00975
T4	COG0630
T4	COG2804
T4	COG1459
T4	PF00482
T4	TIGR02533
T4	PF00437
T4	PF05157
T4	TIGR02120
T5	TIGR00786
T5	PF04290
T5	TIGR00787
T5	COG3090
T5	PF03480
T5	COG1593
T5	PF06808
T5	COG1638
T6	PF11471
T6	COG3839
T6	COG4580
T6	PF01547
T6	COG0395
T6	COG1653
T6	PF02264
T7	COG4146
T7	TIGR02711
T7	PF00474
T7	TIGR00813
T7	TIGR02121
T7	COG4147
T7	COG0591
T8	COG1347
T8	COG1726
T8	COG2871
T8	COG2209
T8	COG1805
T8	COG2869
T9	COG4139
T9	COG0609
T9	TIGR03659
T9	COG1120
T9	COG4138
T9	PF01032
T10	PF07715
T10	TIGR01783
T10	COG1629
T10	PF00593
T10	TIGR01779
T10	TIGR01786
T11	PF08449
T11	PF00892
T11	COG0697
T11	PF04142
T11	TIGR00950
T11	PF06379
T12	TIGR00883
T12	TIGR00887
T12	PF00083
T12	COG0477
T12	TIGR00879
T12	TIGR00898
T13	TIGR01191
T13	TIGR01189
T13	COG4133
T13	COG2386
T13	TIGR01190
T13	COG0755
T14	COG4791
T14	PF01313
T14	COG4794
T14	TIGR01403
T14	PF01311
T14	TIGR01401
T15	TIGR01943
T15	TIGR01945
T15	TIGR01948
T15	TIGR01946
T15	TIGR01947
T15	TIGR01944
T16	TIGR01106
T16	PF12424
T16	COG0474
T16	TIGR01647
T16	TIGR01522
T16	PF00689
T17	TIGR00966
T17	PF02355
T17	TIGR01129
T17	TIGR00916
T17	PF13721
T18	TIGR00969
