	Node1	Node2
251	PF00005	COG1132
252	PF00664	PF00005
253	PF00664	COG1132
254	COG1132	PF00005
255	COG1132	PF00664
256	PF00005	PF00664
257	PF00005	COG1132
258	PF00664	PF00005
259	PF00664	COG1132
260	COG1132	PF00005
261	COG1132	PF00664
262	PF00005	PF00664
263	PF00005	COG1132
264	PF00664	PF00005
265	PF00664	COG1132
266	COG1132	PF00005
267	COG1132	PF00664
268	PF00005	PF00664
269	PF00005	COG1132
270	PF00664	PF00005
271	PF00664	COG1132
272	COG1132	PF00005
273	COG1132	PF00664
274	PF00005	PF01061
275	PF00005	COG1131
276	PF01061	PF00005
277	PF01061	COG1131
278	COG1131	PF00005
279	COG1131	PF01061
280	PF00005	PF00664
281	PF00005	COG1132
282	PF00664	PF00005
283	PF00664	COG1132
284	COG1132	PF00005
285	COG1132	PF00664
286	PF00005	COG1117
287	COG1117	PF00005
288	PF00005	PF00664
289	PF00005	COG1132
290	PF00664	PF00005
291	PF00664	COG1132
292	COG1132	PF00005
293	COG1132	PF00664
294	COG4586	PF00005
295	PF00005	COG4586
296	PF00005	PF01061
297	PF00005	COG1131
298	PF01061	PF00005
299	PF01061	COG1131
300	COG1131	PF00005
301	COG1131	PF01061
302	PF00005	PF01061
303	PF00005	COG1131
304	PF01061	PF00005
305	PF01061	COG1131
306	COG1131	PF00005
307	COG1131	PF01061
308	PF00005	PF00664
309	PF00005	COG1132
310	PF00664	PF00005
311	PF00664	COG1132
312	COG1132	PF00005
313	COG1132	PF00664
314	PF00005	PF00664
315	PF00005	COG1132
316	PF00664	PF00005
317	PF00664	COG1132
318	COG1132	PF00005
319	COG1132	PF00664
320	PF00005	COG1131
321	COG1131	PF00005
322	PF06472	PF00005
323	PF06472	COG4178
324	PF00005	PF06472
325	PF00005	COG4178
326	COG4178	PF06472
327	COG4178	PF00005
328	PF00005	COG0488
329	COG0488	PF00005
330	PF00005	PF01061
331	PF00005	COG1131
332	PF01061	PF00005
333	PF01061	COG1131
334	COG1131	PF00005
335	COG1131	PF01061
336	PF00005	PF00664
337	PF00005	COG1132
338	PF00664	PF00005
339	PF00664	COG1132
340	COG1132	PF00005
341	COG1132	PF00664
342	PF00005	PF00664
343	PF00005	COG1132
344	PF00664	PF00005
345	PF00664	COG1132
346	COG1132	PF00005
347	COG1132	PF00664
348	PF00005	COG4133
349	PF00005	TIGR01189
350	COG4133	PF00005
351	COG4133	TIGR01189
352	TIGR01189	PF00005
353	TIGR01189	COG4133
354	PF00005	PF01061
355	PF00005	COG1131
356	PF01061	PF00005
357	PF01061	COG1131
358	COG1131	PF00005
359	COG1131	PF01061
360	PF00005	PF01061
361	PF00005	COG1131
362	PF01061	PF00005
363	PF01061	COG1131
364	COG1131	PF00005
365	COG1131	PF01061
366	PF00005	PF00664
367	PF00005	COG5265
368	PF00664	PF00005
369	PF00664	COG5265
370	COG5265	PF00005
371	COG5265	PF00664
372	PF00005	PF01061
373	PF00005	COG1131
374	PF01061	PF00005
375	PF01061	COG1131
376	COG1131	PF00005
377	COG1131	PF01061
378	PF00005	PF00664
379	PF00005	COG1132
380	PF00664	PF00005
381	PF00664	COG1132
382	COG1132	PF00005
383	COG1132	PF00664
384	COG4586	PF00005
385	PF00005	COG4586
386	PF00005	PF00664
387	PF00005	COG5265
388	PF00664	PF00005
389	PF00664	COG5265
390	COG5265	PF00005
391	COG5265	PF00664
392	PF00005	PF00664
393	PF00005	COG5265
394	PF00664	PF00005
395	PF00664	COG5265
396	COG5265	PF00005
397	COG5265	PF00664
398	PF00005	PF00664
399	PF00005	COG1132
400	PF00664	PF00005
401	PF00664	COG1132
402	COG1132	PF00005
403	COG1132	PF00664
404	PF00005	PF00664
405	PF00005	COG1132
406	PF00664	PF00005
407	PF00664	COG1132
408	COG1132	PF00005
409	COG1132	PF00664
410	PF00005	PF01061
411	PF00005	COG1131
412	PF01061	PF00005
413	PF01061	COG1131
414	COG1131	PF00005
415	COG1131	PF01061
416	PF00005	PF00664
417	PF00005	COG1132
418	PF00664	PF00005
419	PF00664	COG1132
420	COG1132	PF00005
421	COG1132	PF00664
422	PF00005	PF01061
423	PF00005	COG1131
424	PF01061	PF00005
425	PF01061	COG1131
426	COG1131	PF00005
427	COG1131	PF01061
428	PF00005	PF00664
429	PF00005	COG1132
430	PF00664	PF00005
431	PF00664	COG1132
432	COG1132	PF00005
433	COG1132	PF00664
434	PF00005	PF01061
435	PF00005	COG1131
436	PF01061	PF00005
437	PF01061	COG1131
438	COG1131	PF00005
439	COG1131	PF01061
440	COG0842	PF00005
441	COG0842	PF01061
442	COG0842	PF14510
443	COG0842	PF08370
444	PF00005	COG0842
445	PF00005	PF01061
446	PF00005	PF14510
447	PF00005	PF08370
448	PF01061	COG0842
449	PF01061	PF00005
450	PF01061	PF14510
451	PF01061	PF08370
452	PF14510	COG0842
453	PF14510	PF00005
454	PF14510	PF01061
455	PF14510	PF08370
456	PF08370	COG0842
457	PF08370	PF00005
458	PF08370	PF01061
459	PF08370	PF14510
460	PF00005	PF00664
461	PF00005	COG1132
462	PF00664	PF00005
463	PF00664	COG1132
464	COG1132	PF00005
465	COG1132	PF00664
466	PF00005	PF00664
467	PF00005	COG1132
468	PF00664	PF00005
469	PF00664	COG1132
470	COG1132	PF00005
471	COG1132	PF00664
472	PF00005	PF00664
