	Category0	Category1	Category2	Category3	Category4	Category5	Category6	Category7	Category8
T594	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T595	establishment of localization	transport	ion transport	cation transport	metal ion transport	transition metal ion transport	nickel cation transport	Unclassified.nickel cation transport	Unclassified.nickel cation transport
T596	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T597	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T598	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T599	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T600	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T601	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T602	establishment of localization/single-organism localization/cellular localization/macromolecule localization	cellular macromolecule localization/establishment of localization in cell/intracellular transport/single-organism cellular localization/establishment of protein localization/transport/single-organism transport/protein localization	transmembrane transport/organic substance transport/mitochondrial transport/intracellular transport/intracellular protein transport/protein import/single-organism intracellular transport/cellular protein localization/single-organism transport/protein transport/establishment of protein localization to organelle	intracellular protein transmembrane transport/intracellular protein transport/mitochondrial transmembrane transport/establishment of protein localization to mitochondrion/protein localization to organelle/protein import/intracellular protein transmembrane import/single-organism intracellular transport/protein transport/protein transmembrane transport	intracellular protein transmembrane transport/protein import/intracellular protein transmembrane import/protein localization to mitochondrion/protein transmembrane transport	intracellular protein transmembrane transport/intracellular protein transmembrane import	protein import into mitochondrial matrix	Unclassified.protein import into mitochondrial matrix	Unclassified.protein import into mitochondrial matrix
T603	single-organism localization/establishment of localization	single-organism transport/transport	single-organism transport	Unclassified.single-organism transport	Unclassified.single-organism transport	Unclassified.single-organism transport	xenobiotic transport	Unclassified.xenobiotic transport	Unclassified.xenobiotic transport
T604	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T605	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T606	single-organism localization/establishment of localization	single-organism transport/transport	single-organism transport/iron coordination entity transport	iron coordination entity transport/iron chelate transport	iron chelate transport	Unclassified.iron chelate transport	siderophore transport	Unclassified.siderophore transport	Unclassified.siderophore transport
T607	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T608	single-organism localization/macromolecule localization/establishment of localization	protein localization/single-organism transport/establishment of protein localization/transport	secretion/transmembrane transport/protein transport/organic substance transport/single-organism transport	protein secretion/protein transport/secretion/protein transmembrane transport/secretion by cell	protein secretion/protein transmembrane transport/secretion by cell	protein secretion	protein secretion by the type VI secretion system	Unclassified.protein secretion by the type VI secretion system	Unclassified.protein secretion by the type VI secretion system
T609	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T610	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T611	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T612	establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	transport	Unclassified.transport	Unclassified.transport
T613	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
