	Category0	Category1	Category2	Category3	Category4	Category5	Category6	Category7	Category8
T1	single-organism localization/establishment of localization	single-organism transport/transport	carbohydrate transport/single-organism transport/organic substance transport	carbohydrate transport/monosaccharide transport	monosaccharide transport/pentose transport	pentose transport	D-xylose transport	Unclassified.D-xylose transport	Unclassified.D-xylose transport
T2	single-organism localization/establishment of localization	single-organism transport/transport	single-organism transport/hydrogen transport/ion transport	cation transport/hydrogen transport	monovalent inorganic cation transport	Unclassified.monovalent inorganic cation transport	monovalent inorganic cation transport/proton transport	Unclassified.monovalent inorganic cation transport/proton transport	Unclassified.monovalent inorganic cation transport/proton transport
T3	establishment of localization	transport	ion transport	anion transport	inorganic anion transport	Unclassified.inorganic anion transport	phosphate ion transport	Unclassified.phosphate ion transport	Unclassified.phosphate ion transport
T4	establishment of localization	transport	nitrogen compound transport/organic substance transport/ion transport	cation transport/amide transport	metal ion transport	transition metal ion transport	nickel cation transport/peptide transport	Unclassified.nickel cation transport/peptide transport	Unclassified.nickel cation transport/peptide transport
T5	single-organism localization/macromolecule localization/establishment of localization	protein localization/single-organism transport/establishment of protein localization/transport	single-organism transport/secretion/protein transport/organic substance transport/transmembrane transport	protein secretion/secretion/protein transport/secretion by cell/protein transmembrane transport	protein secretion/protein transmembrane transport/secretion by cell/protein transport across the cell outer membrane	protein secretion/protein transport across the cell outer membrane	protein secretion by the type II secretion system	Unclassified.protein secretion by the type II secretion system	Unclassified.protein secretion by the type II secretion system
T6	establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	transport	Unclassified.transport	Unclassified.transport
T7	establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	transport	Unclassified.transport	Unclassified.transport
T8	establishment of localization	transport	ion transport	cation transport	monovalent inorganic cation transport	Unclassified.monovalent inorganic cation transport	potassium ion transport	Unclassified.potassium ion transport	Unclassified.potassium ion transport
T9	single-organism localization/establishment of localization	single-organism transport/transport	carbohydrate transport/single-organism transport/organic substance transport	carbohydrate transport	Unclassified.carbohydrate transport	Unclassified.carbohydrate transport	phosphoenolpyruvate-dependent sugar phosphotransferase system	Unclassified.phosphoenolpyruvate-dependent sugar phosphotransferase system	Unclassified.phosphoenolpyruvate-dependent sugar phosphotransferase system
T10	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T11	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T12	establishment of localization	transport	nitrogen compound transport/organic substance transport	Unclassified.nitrogen compound transport/organic substance transport	Unclassified.nitrogen compound transport/organic substance transport	Unclassified.nitrogen compound transport/organic substance transport	amine transport	Unclassified.amine transport	Unclassified.amine transport
T13	single-organism localization/establishment of localization	single-organism transport/transport	nitrogen compound transport/single-organism transport/iron coordination entity transport/organic substance transport/cofactor transport	cofactor transport/iron coordination entity transport	Unclassified.cofactor transport/iron coordination entity transport	Unclassified.cofactor transport/iron coordination entity transport	heme transport	Unclassified.heme transport	Unclassified.heme transport
T14	single-organism localization/macromolecule localization/establishment of localization	protein localization/single-organism transport/establishment of protein localization/transport	secretion/transmembrane transport/protein transport/organic substance transport/single-organism transport	protein secretion/protein transport/secretion/protein transmembrane transport/secretion by cell	protein secretion/protein transmembrane transport/secretion by cell	protein secretion	protein secretion by the type III secretion system	Unclassified.protein secretion by the type III secretion system	Unclassified.protein secretion by the type III secretion system
T15	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T16	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T17	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T18	single-organism localization/establishment of localization	single-organism transport/transport	single-organism transport/organic substance transport/ion transport	anion transport	inorganic anion transport	Unclassified.inorganic anion transport	carbohydrate transport/phosphate ion transport/transport	Unclassified.carbohydrate transport/phosphate ion transport/transport	Unclassified.carbohydrate transport/phosphate ion transport/transport
T19	establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	transport	Unclassified.transport	Unclassified.transport
T20	establishment of localization	transport	Unclassified.transport	Unclassified.transport	Unclassified.transport	Unclassified.transport	transmembrane transport/transport	Unclassified.transmembrane transport/transport	Unclassified.transmembrane transport/transport
T21	single-organism localization/establishment of localization	single-organism transport/transport	sulfur compound transport/single-organism transport	sulfur compound transport	Unclassified.sulfur compound transport	Unclassified.sulfur compound transport	sulfate transport	Unclassified.sulfate transport	Unclassified.sulfate transport
T22	single-organism localization/macromolecule localization/establishment of localization	protein localization/single-organism transport/establishment of protein localization/transport	single-organism transport/secretion/protein transport/organic substance transport	secretion/protein transport/secretion by cell	secretion by cell	Unclassified.secretion by cell	protein secretion	Unclassified.protein secretion	Unclassified.protein secretion
T23	establishment of localization	transport	nitrogen compound transport/organic substance transport	Unclassified.nitrogen compound transport/organic substance transport	Unclassified.nitrogen compound transport/organic substance transport	Unclassified.nitrogen compound transport/organic substance transport	amine transport	Unclassified.amine transport	Unclassified.amine transport
T24	establishment of localization	transport	ion transport	Unclassified.ion transport	Unclassified.ion transport	Unclassified.ion transport	cation transport	Unclassified.cation transport	Unclassified.cation transport
T25	establishment of localization	transport	ion transport	cation transport	Unclassified.cation transport	Unclassified.cation transport	metal ion transport/transmembrane transport	Unclassified.metal ion transport/transmembrane transport	Unclassified.metal ion transport/transmembrane transport
T26	establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	transport	Unclassified.transport	Unclassified.transport
T27	single-organism localization/establishment of localization	single-organism transport/transport	single-organism transport/organic substance transport/organic acid transport	amino acid transport/organic acid transport	amino acid transport	Unclassified.amino acid transport	amino acid transport/aromatic amino acid transport	Unclassified.amino acid transport/aromatic amino acid transport	Unclassified.amino acid transport/aromatic amino acid transport
T28	single-organism localization/macromolecule localization/establishment of localization	protein localization/single-organism transport/establishment of protein localization/transport	single-organism transport/secretion/protein transport/organic substance transport/transmembrane transport	protein secretion/secretion/protein transport/secretion by cell/protein transmembrane transport	protein secretion/protein transmembrane transport/secretion by cell/protein transport across the cell outer membrane	protein secretion/protein transport across the cell outer membrane	protein secretion by the type II secretion system	Unclassified.protein secretion by the type II secretion system	Unclassified.protein secretion by the type II secretion system
T29	establishment of localization	transport	nitrogen compound transport/organic substance transport/ion transport	anion transport/methionine transport/organic anion transport	carboxylic acid transport/organic anion transport	carboxylic acid transport/methionine transport	D-methionine transport	Unclassified.D-methionine transport	Unclassified.D-methionine transport
T30	establishment of localization	transport	ion transport	cation transport	metal ion transport/divalent inorganic cation transport	divalent metal ion transport/transition metal ion transport	ferrous iron transport	Unclassified.ferrous iron transport	Unclassified.ferrous iron transport
T31	single-organism localization/macromolecule localization/establishment of localization	protein localization/single-organism transport/establishment of protein localization/transport	single-organism transport/secretion/protein transport/organic substance transport/transmembrane transport	protein secretion/secretion/protein transport/secretion by cell/protein transmembrane transport	protein secretion/protein transmembrane transport/secretion by cell/protein transport across the cell outer membrane	protein secretion/protein transport across the cell outer membrane	protein secretion by the type V secretion system	Unclassified.protein secretion by the type V secretion system	Unclassified.protein secretion by the type V secretion system
T32	single-organism localization/establishment of localization	single-organism transport/transport	organic hydroxy compound transport/organic substance transport/lipid transport/organic acid transport/single-organism transport/ion transport	anion transport/organic hydroxy compound transport/lipid transport/organic acid transport/organic anion transport	carboxylic acid transport/organic anion transport	carboxylic acid transport/monocarboxylic acid transport	bile acid and bile salt transport	Unclassified.bile acid and bile salt transport	Unclassified.bile acid and bile salt transport
T33	establishment of localization	transport	ion transport	anion transport	inorganic anion transport	Unclassified.inorganic anion transport	nitrate transport	Unclassified.nitrate transport	Unclassified.nitrate transport
T34	single-organism localization/establishment of localization	single-organism transport/transport	nitrogen compound transport/single-organism transport/organic substance transport	Unclassified.nitrogen compound transport/single-organism transport/organic substance transport	Unclassified.nitrogen compound transport/single-organism transport/organic substance transport	Unclassified.nitrogen compound transport/single-organism transport/organic substance transport	2-aminoethylphosphonate transport/polyamine transport	Unclassified.2-aminoethylphosphonate transport/polyamine transport	Unclassified.2-aminoethylphosphonate transport/polyamine transport
T35	establishment of localization	transport	Unclassified.transport	Unclassified.transport	Unclassified.transport	Unclassified.transport	transmembrane transport	Unclassified.transmembrane transport	Unclassified.transmembrane transport
T36	establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	transport	Unclassified.transport	Unclassified.transport
T37	single-organism localization/establishment of localization	single-organism transport/transport	nitrogen compound transport/single-organism transport/organic substance transport	Unclassified.nitrogen compound transport/single-organism transport/organic substance transport	Unclassified.nitrogen compound transport/single-organism transport/organic substance transport	Unclassified.nitrogen compound transport/single-organism transport/organic substance transport	nucleobase transport	Unclassified.nucleobase transport	Unclassified.nucleobase transport
T38	single-organism localization/establishment of localization	single-organism transport/transport	nitrogen compound transport/single-organism transport/carbohydrate derivative transport/organic substance transport	nucleobase-containing compound transport/carbohydrate derivative transport	Unclassified.nucleobase-containing compound transport/carbohydrate derivative transport	Unclassified.nucleobase-containing compound transport/carbohydrate derivative transport	nucleoside transport	Unclassified.nucleoside transport	Unclassified.nucleoside transport
T39	establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	transport	Unclassified.transport	Unclassified.transport
T40	establishment of localization	transport	ion transport	cation transport	metal ion transport/divalent inorganic cation transport	transition metal ion transport	cobalt ion transport	Unclassified.cobalt ion transport	Unclassified.cobalt ion transport
T41	establishment of localization	transport	ion transport	anion transport	inorganic anion transport	phosphate ion transport	sodium-dependent phosphate transport	Unclassified.sodium-dependent phosphate transport	Unclassified.sodium-dependent phosphate transport
T42	establishment of localization	transport	ion transport	cation transport	metal ion transport/divalent inorganic cation transport	transition metal ion transport	cobalt ion transport	Unclassified.cobalt ion transport	Unclassified.cobalt ion transport
T43	single-organism localization/establishment of localization	single-organism transport/transport	nitrogen compound transport/single-organism transport/organic substance transport	Unclassified.nitrogen compound transport/single-organism transport/organic substance transport	Unclassified.nitrogen compound transport/single-organism transport/organic substance transport	Unclassified.nitrogen compound transport/single-organism transport/organic substance transport	quaternary ammonium group transport	Unclassified.quaternary ammonium group transport	Unclassified.quaternary ammonium group transport
T44	establishment of localization	transport	ion transport	cation transport	monovalent inorganic cation transport/metal ion transport	Unclassified.monovalent inorganic cation transport/metal ion transport	ion transport/sodium ion transport/transmembrane transport	Unclassified.ion transport/sodium ion transport/transmembrane transport	Unclassified.ion transport/sodium ion transport/transmembrane transport
T45	establishment of localization	transport	ion transport	cation transport	monovalent inorganic cation transport	Unclassified.monovalent inorganic cation transport	potassium ion transport	Unclassified.potassium ion transport	Unclassified.potassium ion transport
T46	establishment of localization	transport	nitrogen compound transport/organic substance transport	amide transport	Unclassified.amide transport	Unclassified.amide transport	peptide transport	Unclassified.peptide transport	Unclassified.peptide transport
T47	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T48	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T49	establishment of localization	transport	ion transport	Unclassified.ion transport	Unclassified.ion transport	Unclassified.ion transport	cation transport/transmembrane transport	Unclassified.cation transport/transmembrane transport	Unclassified.cation transport/transmembrane transport
T50	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T51	establishment of localization	transport	ion transport	cation transport	monovalent inorganic cation transport/metal ion transport	Unclassified.monovalent inorganic cation transport/metal ion transport	sodium ion transport	Unclassified.sodium ion transport	Unclassified.sodium ion transport
T52	single-organism localization/macromolecule localization/establishment of localization	protein localization/single-organism transport/establishment of protein localization/transport	secretion/transmembrane transport/protein transport/organic substance transport/single-organism transport	protein secretion/protein transport/secretion/protein transmembrane transport/secretion by cell	protein secretion/protein transmembrane transport/secretion by cell	protein secretion	protein secretion by the type III secretion system	Unclassified.protein secretion by the type III secretion system	Unclassified.protein secretion by the type III secretion system
T53	establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	transport	Unclassified.transport	Unclassified.transport
T54	establishment of localization	transport	ion transport	Unclassified.ion transport	Unclassified.ion transport	Unclassified.ion transport	anion transport	Unclassified.anion transport	Unclassified.anion transport
T55	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T56	establishment of localization	transport	organic substance transport/ion transport	anion transport/organic anion transport	carboxylic acid transport/organic anion transport	carboxylic acid transport	monocarboxylic acid transport	Unclassified.monocarboxylic acid transport	Unclassified.monocarboxylic acid transport
T57	establishment of localization	transport	ion transport	cation transport	monovalent inorganic cation transport/metal ion transport	Unclassified.monovalent inorganic cation transport/metal ion transport	sodium ion transport	Unclassified.sodium ion transport	Unclassified.sodium ion transport
T58	establishment of localization	transport	organic substance transport/ion transport	anion transport/organic anion transport	carboxylic acid transport/organic anion transport	carboxylic acid transport/dicarboxylic acid transport	C4-dicarboxylate transport	Unclassified.C4-dicarboxylate transport	Unclassified.C4-dicarboxylate transport
T59	establishment of localization	transport	ion transport	Unclassified.ion transport	Unclassified.ion transport	Unclassified.ion transport	anion transport	Unclassified.anion transport	Unclassified.anion transport
T60	single-organism localization/establishment of localization	single-organism transport/transport	sulfur compound transport/single-organism transport	sulfur compound transport	Unclassified.sulfur compound transport	Unclassified.sulfur compound transport	sulfate transport	Unclassified.sulfate transport	Unclassified.sulfate transport
T61	establishment of localization	transport	organic substance transport/ion transport	anion transport/organic anion transport	carboxylic acid transport/organic anion transport	carboxylic acid transport/dicarboxylic acid transport	C4-dicarboxylate transport	Unclassified.C4-dicarboxylate transport	Unclassified.C4-dicarboxylate transport
T62	single-organism localization/establishment of localization	single-organism transport/transport	single-organism transport/organic substance transport/organic acid transport	amino acid transport/organic acid transport	amino acid transport	Unclassified.amino acid transport	branched-chain amino acid transport	Unclassified.branched-chain amino acid transport	Unclassified.branched-chain amino acid transport
T63	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T64	single-organism localization/macromolecule localization/establishment of localization	protein localization/single-organism transport/establishment of protein localization/transport	single-organism transport/secretion/protein transport/organic substance transport/transmembrane transport	protein secretion/secretion/protein transport/secretion by cell/protein transmembrane transport	protein secretion/protein transmembrane transport/secretion by cell/protein transport across the cell outer membrane	protein secretion/protein transport across the cell outer membrane	protein secretion by the type II secretion system	Unclassified.protein secretion by the type II secretion system	Unclassified.protein secretion by the type II secretion system
T65	establishment of localization	transport	ion transport	cation transport	metal ion transport/divalent inorganic cation transport	divalent metal ion transport/transition metal ion transport	cobalt ion transport/magnesium ion transport	Unclassified.cobalt ion transport/magnesium ion transport	Unclassified.cobalt ion transport/magnesium ion transport
T66	establishment of localization	transport	ion transport	anion transport	inorganic anion transport	Unclassified.inorganic anion transport	molybdate ion transport	Unclassified.molybdate ion transport	Unclassified.molybdate ion transport
T67	establishment of localization	transport	ion transport	cation transport	Unclassified.cation transport	Unclassified.cation transport	metal ion transport/transmembrane transport	Unclassified.metal ion transport/transmembrane transport	Unclassified.metal ion transport/transmembrane transport
T68	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T69	establishment of localization	transport	ion transport	cation transport	metal ion transport	transition metal ion transport	nickel cation transport	Unclassified.nickel cation transport	Unclassified.nickel cation transport
T70	single-organism localization/establishment of localization	single-organism transport/transport	single-organism transport/organic substance transport	Unclassified.single-organism transport/organic substance transport	Unclassified.single-organism transport/organic substance transport	Unclassified.single-organism transport/organic substance transport	lipid transport	Unclassified.lipid transport	Unclassified.lipid transport
T71	establishment of localization	transport	organic substance transport/ion transport	anion transport/organic anion transport	carboxylic acid transport/organic anion transport	carboxylic acid transport	monocarboxylic acid transport	Unclassified.monocarboxylic acid transport	Unclassified.monocarboxylic acid transport
T72	establishment of localization	transport	Unclassified.transport	Unclassified.transport	Unclassified.transport	Unclassified.transport	transmembrane transport	Unclassified.transmembrane transport	Unclassified.transmembrane transport
T73	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T74	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T75	single-organism localization/macromolecule localization/establishment of localization	protein localization/single-organism transport/establishment of protein localization/transport	single-organism transport/secretion/protein transport/organic substance transport/transmembrane transport	protein secretion/secretion/protein transport/secretion by cell/protein transmembrane transport	protein secretion/protein transmembrane transport/secretion by cell/protein transport across the cell outer membrane	protein secretion/protein transport across the cell outer membrane	protein secretion by the type II secretion system	Unclassified.protein secretion by the type II secretion system	Unclassified.protein secretion by the type II secretion system
T76	single-organism localization/macromolecule localization/establishment of localization	protein localization/single-organism transport/establishment of protein localization/transport	secretion/transmembrane transport/protein transport/organic substance transport/single-organism transport	protein secretion/protein transport/secretion/protein transmembrane transport/secretion by cell	protein secretion/protein transmembrane transport/secretion by cell	protein secretion	protein secretion by the type III secretion system	Unclassified.protein secretion by the type III secretion system	Unclassified.protein secretion by the type III secretion system
T77	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T78	single-organism localization/establishment of localization	single-organism transport/transport	sulfur compound transport/cofactor transport/organic substance transport/organophosphate ester transport/vitamin transport/nitrogen compound transport/single-organism transport	sulfur compound transport/azole transport/cofactor transport/organophosphate ester transport/vitamin transport	Unclassified.sulfur compound transport/azole transport/cofactor transport/organophosphate ester transport/vitamin transport	Unclassified.sulfur compound transport/azole transport/cofactor transport/organophosphate ester transport/vitamin transport	thiamine pyrophosphate transport/thiamine transport	Unclassified.thiamine pyrophosphate transport/thiamine transport	Unclassified.thiamine pyrophosphate transport/thiamine transport
T79	establishment of localization	transport	Unclassified.transport	Unclassified.transport	Unclassified.transport	Unclassified.transport	transmembrane transport	Unclassified.transmembrane transport	Unclassified.transmembrane transport
T80	establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	transport	Unclassified.transport	Unclassified.transport
T81	establishment of localization	transport	organic substance transport/ion transport	anion transport/organic anion transport	carboxylic acid transport/organic anion transport	carboxylic acid transport/monocarboxylic acid transport	2-keto-3-deoxygluconate transport	Unclassified.2-keto-3-deoxygluconate transport	Unclassified.2-keto-3-deoxygluconate transport
T82	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T83	single-organism localization/establishment of localization	single-organism transport/transport	carbohydrate transport/single-organism transport/organic substance transport	polysaccharide transport/carbohydrate transport	polysaccharide transport	Unclassified.polysaccharide transport	capsular polysaccharide transport	Unclassified.capsular polysaccharide transport	Unclassified.capsular polysaccharide transport
T84	establishment of localization	transport	Unclassified.transport	Unclassified.transport	Unclassified.transport	Unclassified.transport	transmembrane transport	Unclassified.transmembrane transport	Unclassified.transmembrane transport
T85	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T86	single-organism localization/establishment of localization	single-organism transport/transport	single-organism transport	Unclassified.single-organism transport	Unclassified.single-organism transport	Unclassified.single-organism transport	neurotransmitter transport	Unclassified.neurotransmitter transport	Unclassified.neurotransmitter transport
T87	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T88	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T89	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T90	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T91	cellular localization/establishment of localization	transport/establishment of localization in cell/intracellular transport	intracellular transport	Unclassified.intracellular transport	Unclassified.intracellular transport	Unclassified.intracellular transport	intracellular protein transport	Unclassified.intracellular protein transport	Unclassified.intracellular protein transport
T92	establishment of localization	transport	nitrogen compound transport/organic substance transport	Unclassified.nitrogen compound transport/organic substance transport	Unclassified.nitrogen compound transport/organic substance transport	Unclassified.nitrogen compound transport/organic substance transport	amine transport	Unclassified.amine transport	Unclassified.amine transport
T93	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T94	establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	transport	Unclassified.transport	Unclassified.transport
T95	single-organism localization/macromolecule localization/establishment of localization	protein localization/single-organism transport/establishment of protein localization/transport	single-organism transport/secretion/protein transport/organic substance transport/transmembrane transport	protein secretion/secretion/protein transport/secretion by cell/protein transmembrane transport	protein secretion/protein transmembrane transport/secretion by cell/protein transport across the cell outer membrane	protein secretion/protein transport across the cell outer membrane	protein secretion by the type II secretion system	Unclassified.protein secretion by the type II secretion system	Unclassified.protein secretion by the type II secretion system
T96	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T97	establishment of localization	transport	transmembrane transport/ion transport	ion transmembrane transport/cation transport	inorganic ion transmembrane transport/metal ion transport/cation transmembrane transport	inorganic cation transmembrane transport/transition metal ion transport	high-affinity iron ion transmembrane transport	iron ion transmembrane transport	Unclassified.iron ion transmembrane transport
T98	establishment of localization	transport	ion transport	anion transport	inorganic anion transport	Unclassified.inorganic anion transport	molybdate ion transport	Unclassified.molybdate ion transport	Unclassified.molybdate ion transport
T99	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T100	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T101	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T102	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T103	establishment of localization	transport	ion transport	anion transport	inorganic anion transport	Unclassified.inorganic anion transport	phosphate ion transport	Unclassified.phosphate ion transport	Unclassified.phosphate ion transport
T104	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T105	establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	transport	Unclassified.transport	Unclassified.transport
T106	single-organism localization/establishment of localization	single-organism transport/transport	nitrogen compound transport/single-organism transport/iron coordination entity transport/organic substance transport/cofactor transport	cofactor transport/iron coordination entity transport	Unclassified.cofactor transport/iron coordination entity transport	Unclassified.cofactor transport/iron coordination entity transport	heme transport	Unclassified.heme transport	Unclassified.heme transport
T107	establishment of localization	transport	nitrogen compound transport/ion transport	cation transport	Unclassified.cation transport	Unclassified.cation transport	ammonium transport	Unclassified.ammonium transport	Unclassified.ammonium transport
T108	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T109	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T110	establishment of localization	transport	ion transport	cation transport	metal ion transport	Unclassified.metal ion transport	transition metal ion transport	Unclassified.transition metal ion transport	Unclassified.transition metal ion transport
T111	cellular localization/establishment of localization	transport/establishment of localization in cell/intracellular transport	intracellular transport/intracellular protein transport	intracellular protein transport	Unclassified.intracellular protein transport	Unclassified.intracellular protein transport	intracellular protein transport/protein targeting	Unclassified.intracellular protein transport/protein targeting	Unclassified.intracellular protein transport/protein targeting
T112	single-organism localization/establishment of localization	single-organism transport/transport	drug transport/transmembrane transport/single-organism transport	drug transport	Unclassified.drug transport	Unclassified.drug transport	drug transmembrane transport	Unclassified.drug transmembrane transport	Unclassified.drug transmembrane transport
T113	single-organism localization/macromolecule localization/establishment of localization	protein localization/single-organism transport/establishment of protein localization/transport	secretion/transmembrane transport/protein transport/organic substance transport/single-organism transport	protein secretion/protein transport/secretion/protein transmembrane transport/secretion by cell	protein secretion/protein transmembrane transport/secretion by cell	protein secretion	protein secretion by the type I secretion system	Unclassified.protein secretion by the type I secretion system	Unclassified.protein secretion by the type I secretion system
T114	establishment of localization	transport	transmembrane transport/ion transport	ion transmembrane transport/cation transport	inorganic ion transmembrane transport/metal ion transport/cation transmembrane transport	inorganic cation transmembrane transport/transition metal ion transport	nickel cation transmembrane transport	Unclassified.nickel cation transmembrane transport	Unclassified.nickel cation transmembrane transport
