TransportGroup	PFAM	TIGRFAM	COG
T68	PF00916	TIGR00815	COG0659
T67	PF00375		COG1823|COG3633
T66	PF01306	TIGR00902|TIGR00882	
T42	PF06826	TIGR03802|TIGR01625	COG2985
T189		TIGR01183	COG0600
T188	PF01311	TIGR01401	COG4791
T262	PF06472	TIGR00954	COG4178
T263			COG4604
T264	PF03364		COG2867
T265	PF05108	TIGR03919	
T266	PF10304|PF10363		
T267	PF02405	TIGR00056	COG0767
T268			COG4214
T51		TIGR00941	COG1006
T52	PF01547		
T182	PF02687		COG4591
T185	PF02133	TIGR00800	COG1953|COG1457
T184		TIGR01295	
T187		TIGR01102	COG4790
T186		TIGR00971	COG1613
T349			COG0410
T348			COG0411
T347	PF13722		
T346	PF08318		
T345			COG0559
T344	PF09783		COG5073
T343	PF00892|PF04142|PF08449|PF03151	TIGR00803	COG5070
T41	PF15894		
T341		TIGR02567	
T340		TIGR01497	COG2216
T167		TIGR04033	
T166	PF00188		
T165	PF03865		COG2831
T164	PF03600	TIGR00935|TIGR00784|TIGR00775	COG1055|COG2851
T163		TIGR04183	
T162	PF10634		COG3470
T161	PF06379|PF06800	TIGR00776	COG4975
T160	PF02417	TIGR00937	COG2059
T169		TIGR03258|TIGR03265|TIGR01187	COG3842
T168	PF16916|PF01545	TIGR01297	COG0053|COG1230
T377	PF09474	TIGR02502	
T47	PF04069		COG1732|COG2113
T46	PF04145		
T408	PF02687		COG3127
T409			COG4619
T405	PF06979		
T406	PF00593|PF07715	TIGR01783|TIGR01779	
T407	PF02535	TIGR00820	COG0428
T403	PF00324	TIGR01773|TIGR00913	COG1113
T261		TIGR04281|TIGR03659	COG0614
T129	PF09794		
T14	PF03151		
T15	PF07660|PF00593|PF07715|PF00263|PF03958	TIGR01776|TIGR01786|TIGR01785|TIGR01783|TIGR02517|TIGR02516	COG4796|COG1629|COG1450
T16		TIGR03022|TIGR03023|TIGR03025	
T17	PF00520|PF06512	TIGR00932	COG0569|COG4651|COG0475|COG1226
T10	PF00005	TIGR04406	COG1137|COG1121
T11	PF02687		COG0577|COG1136
T12	PF01297		COG0803
T13		TIGR02568|TIGR02511	
T18	PF03934		COG3156
T19	PF02705	TIGR00794	COG3158
T303	PF11130	TIGR02746	
T302	PF16996		
T301			COG4168
T300	PF00950		COG1108
T307		TIGR02142	COG4148
T306	PF11711		
T305	PF03812	TIGR00793	
T304	PF08627		
T309		TIGR02315	COG3638
T308	PF00083	TIGR00891|TIGR00879	
T288	PF01032		COG4779|COG4605|COG4606|COG0609
T282		TIGR03005	
T283			COG4107
T280			COG3822
T128	PF01547	TIGR01254|TIGR01276	COG4143
T286		TIGR03431|TIGR01098	COG3221
T287	PF03583		
T284			COG4209
T285	PF03810|PF08389		COG5101
T123	PF17000		
T122		TIGR01843	
T121	PF02321	TIGR01844|TIGR01845	
T120	PF02472	TIGR02803|TIGR02804	COG0848
T127		TIGR01277	COG3840
T126	PF12538	TIGR03928	
T125		TIGR01272|TIGR00885	COG0738
T124	PF00324	TIGR01773	COG0833|COG1113
T239		TIGR00797	COG0534
T238	PF00375		COG1823|COG1301
T237	PF06558		
T236	PF07970		
T235	PF10140	TIGR03926	
T234	PF02386	TIGR00933|TIGR00934	COG0168
T233			COG4559
T232		TIGR02139|TIGR02140|TIGR00969|TIGR03226	COG4208|COG0555
T231		TIGR01097	COG3639
T230	PF12821		
T435	PF09828		
T434	PF09822		
T437	PF07931		COG3896
T436	PF01636		COG3173|COG3231
T431			COG4586
T430	PF10337|PF10334		
T433			COG1277
T432	PF07155	TIGR04518	
T439	PF07824		
T438	PF00955		
T420		TIGR00898	
T58	PF08619	TIGR00831|TIGR00844	COG0025
T59	PF04973	TIGR01528	COG3201
T273			COG4181
T272	PF05525	TIGR00796	COG1114
T271		TIGR01184|TIGR01728	COG1116|COG0715
T270		TIGR00972	COG1117
T277	PF00437|PF05157	TIGR02533	COG0630|COG2804
T276		TIGR00968	COG1118
T275			COG1119
T274	PF03611		COG3775
T65	PF03239		COG0672
T64	PF00083	TIGR00879	
T279		TIGR03003	
T278	PF10766		
T61	PF01226	TIGR04060|TIGR00790	COG2116
T60	PF03334	TIGR01300	COG1320
T63	PF15305		
T62		TIGR01301	
T50	PF00324|PF08403|PF13520|PF13906	TIGR04299|TIGR01773|TIGR00907|TIGR00930|TIGR00906|TIGR03810|TIGR00905|TIGR00911|TIGR00910|TIGR00909	COG1113
T378	PF11093		
T379	PF06610		
T269	PF06609		
T372	PF03810|PF08389		COG5215
T373	PF11700		COG2270
T370	PF11262|PF11732		
T371	PF08988	TIGR02501	
T376	PF08626		
T183		TIGR00974	COG0581
T374	PF01061		COG1682
T375	PF06646		
T152		TIGR01098	
T153	PF03605	TIGR00770	COG2704
T150	PF02669	TIGR00681	COG2156
T151	PF06808|PF03480	TIGR00786|TIGR00787	COG1638|COG1593|COG3090
T156	PF09482	TIGR02555	
T157	PF09483	TIGR02557	
T154	PF11203	TIGR03923	
T155			COG2011
T404		TIGR00892	
T54	PF01544	TIGR00383	COG0598
T158	PF09480	TIGR02554	
T159	PF07664|PF02421	TIGR00437	COG0370|COG1918
T400		TIGR00915	COG0841
T401		TIGR00914	COG3696
T402	PF04120		
T55	PF10270		
T56	PF13593|PF01758	TIGR00841	COG0385|COG0798
T57	PF02501|PF12019|PF08334	TIGR01710|TIGR01707|TIGR01708	COG2165
T259		TIGR02122	COG2358
