	Node1	Node2
238	COG0555	COG3839
239	COG3839	PF00528
240	COG3839	PF00005
241	COG3839	COG0555
242	COG0310	PF00005
243	COG0310	PF01891
244	COG0310	COG1122
245	PF00005	COG0310
246	PF00005	PF01891
247	PF00005	COG1122
248	PF01891	COG0310
249	PF01891	PF00005
250	PF01891	COG1122
251	COG1122	COG0310
252	COG1122	PF00005
253	COG1122	PF01891
254	PF00528	COG0555
255	PF00528	COG0725
256	PF00528	TIGR03730
257	COG0555	PF00528
258	COG0555	COG0725
259	COG0555	TIGR03730
260	COG0725	PF00528
261	COG0725	COG0555
262	COG0725	TIGR03730
263	TIGR03730	PF00528
264	TIGR03730	COG0555
265	TIGR03730	COG0725
266	PF00005	COG0842
267	PF00005	PF01061
268	PF00005	TIGR01291
269	PF00005	COG1131
270	COG0842	PF00005
271	COG0842	PF01061
272	COG0842	TIGR01291
273	COG0842	COG1131
274	PF01061	PF00005
275	PF01061	COG0842
276	PF01061	TIGR01291
277	PF01061	COG1131
278	TIGR01291	PF00005
279	TIGR01291	COG0842
280	TIGR01291	PF01061
281	TIGR01291	COG1131
282	COG1131	PF00005
283	COG1131	COG0842
284	COG1131	PF01061
285	COG1131	TIGR01291
286	PF00005	COG1129
287	PF00005	PF05025
288	COG1129	PF00005
289	COG1129	PF05025
290	PF05025	PF00005
291	PF05025	COG1129
292	PF00005	TIGR04520
293	PF00005	TIGR04521
294	PF00005	COG1122
295	TIGR04520	PF00005
296	TIGR04520	TIGR04521
297	TIGR04520	COG1122
298	TIGR04521	PF00005
299	TIGR04521	TIGR04520
300	TIGR04521	COG1122
301	COG1122	PF00005
302	COG1122	TIGR04520
303	COG1122	TIGR04521
304	PF00005	PF12558
305	PF00005	PF07155
306	PF00005	COG1122
307	PF12558	PF00005
308	PF12558	PF07155
309	PF12558	COG1122
310	PF07155	PF00005
311	PF07155	PF12558
312	PF07155	COG1122
313	COG1122	PF00005
314	COG1122	PF12558
315	COG1122	PF07155
316	PF00005	TIGR04520
317	PF00005	TIGR04521
318	PF00005	COG1122
319	TIGR04520	PF00005
320	TIGR04520	TIGR04521
321	TIGR04520	COG1122
322	TIGR04521	PF00005
323	TIGR04521	TIGR04520
324	TIGR04521	COG1122
325	COG1122	PF00005
326	COG1122	TIGR04520
327	COG1122	TIGR04521
328	PF00005	PF12558
329	PF00005	PF07155
330	PF00005	COG1122
331	PF12558	PF00005
332	PF12558	PF07155
333	PF12558	COG1122
334	PF07155	PF00005
335	PF07155	PF12558
336	PF07155	COG1122
337	COG1122	PF00005
338	COG1122	PF12558
339	COG1122	PF07155
340	PF00005	COG1129
341	PF00005	PF05025
342	COG1129	PF00005
343	COG1129	PF05025
344	PF05025	PF00005
345	PF05025	COG1129
346	TIGR01497	PF03814
347	TIGR01497	TIGR00680
348	PF03814	TIGR01497
349	PF03814	TIGR00680
