95	PF00528;PF01547		COG0395;COG1653
96	PF00437;PF00482		COG2804;COG1459
97	PF00005	TIGR04520;TIGR04521	COG1122
98	PF00005;PF05025		COG1869;COG1129
99	PF00005	TIGR00972	COG1117
100	PF00893		COG2076
101	PF00893		COG2076
102	PF00005	TIGR00972	COG1117
103	PF00005;PF05025		COG1869;COG1129
104	PF00005	TIGR04520;TIGR04521	COG1122
105	PF01899;PF00361		COG1863;COG0651
106	PF00361;PF00420		COG0651;COG1006
107	PF00528;PF12911		COG1173;COG0601
108	PF00361;PF04066		COG0651;COG2212
109	PF13244;PF00361;PF04039;PF00662	TIGR00940	COG1009;COG2111
110	PF04066;PF03334	TIGR01300	COG1320;COG2212
111	PF01899;PF04066		COG1863;COG2212
112	PF01899;PF03334	TIGR01300	COG1320;COG1863
113	PF04039;PF00420		COG1006;COG2111
114	PF00361;PF04039		COG0651;COG2111
115	PF13244;PF00361;PF00420;PF00662	TIGR00940	COG1009;COG1006;COG2111
116	PF00005		COG1126;COG0834
117	PF02378;PF05524;PF00367;PF00391;PF00358;PF02896	TIGR02002;TIGR00852;TIGR01417;TIGR00830;TIGR00826	COG2190;COG1264;COG1080;COG1263
118	PF00005;PF00664		COG1132
119	PF00005;PF02687;PF12704		COG0577;COG1136
120	PF00528		COG1174
121	PF04066;PF03334	TIGR01300	COG1320;COG2212
122	PF02378;PF02255	TIGR00410;TIGR00359	COG1447;COG1455
123	PF00005;PF01297		COG0803;COG1121
124	PF03591;PF05437	TIGR00346	COG1687;COG1296
125			COG0834
126	PF00005		COG4555;COG1668
127	PF00528;PF01547		COG0395;COG1653
128	PF01865;PF01384		COG1392;COG0306
129	PF00005;PF00528;PF00571	TIGR01186	COG1174;COG1125
130	PF00005;PF00528	TIGR01726	COG1126;COG0765
131	PF00005;PF00528	TIGR00974;TIGR00972	COG1117;COG0581
132	PF00005;PF13407		COG1879;COG1129
133	PF00528		COG0395;COG1653
134	PF02378;PF08279;PF00874;PF05043;PF02302;PF00359	TIGR00829;TIGR00848;TIGR01427	COG1299;COG3711;COG1762;COG1445
135	PF00005;PF00528	TIGR01726	COG1126;COG0765
136	PF01899;PF04066		COG1863;COG2212
137	PF00005;PF00571;PF04069	TIGR01186	COG1732;COG1125
138	PF01032		COG0609
139	PF00528		COG0395;COG1653
140	PF00528;PF09084	TIGR01728	COG0600;COG0715
141	PF07690	TIGR00711	COG1566
142	PF00005;PF00528;PF12911;PF08352	TIGR01727	COG0444;COG1173
143	PF00528;PF04069		COG1174;COG1732
144	PF00005;PF00528	TIGR01726	COG1126;COG0765
145	PF00496;PF00528		COG4166;COG0601
146	PF00528		COG0395;COG4209
147	PF00005;PF00528	TIGR02138;TIGR00972	COG1117;COG0573
148	PF00005		COG1131;COG0842
149	PF00005;PF00528	TIGR01726	COG1126;COG0765
150	PF00528		COG1175;COG0395
151	PF01032;PF01497		COG4605;COG4607
152	PF00528	TIGR01726	COG0834;COG0765
153	PF01032;PF01497		COG4594;COG0609
154	PF00528	TIGR01726	COG0834;COG0765
155	PF00005;PF01032		COG4604;COG4606
156	PF03613;PF03609	TIGR00828;TIGR00822	COG3716;COG3715
157	PF00005;PF02687	TIGR02673	COG2884;COG2177
158	PF02378;PF08279;PF00874;PF05043;PF00359	TIGR00359;TIGR00410	COG3711;COG1762;COG1455
159	PF00528	TIGR01726	COG0834
160	PF00005;PF00528	TIGR01726	COG1126
161	PF00005;PF05025		COG1869;COG1129
162	PF00528		COG1175;COG3833
163	PF00005;PF00664	TIGR02857;TIGR02868	COG4987;COG4988
164	PF04069;PF00528		COG1732;COG1174
165	PF01032;PF01497		COG0614;COG0609
166	PF03830;PF03610	TIGR00854;TIGR00824	COG2893;COG3444
167	PF00950;PF01297		COG0803;COG1108
168	PF00361;PF00420	TIGR00944	COG0651;COG1006
169	PF00528		COG1175;COG0395
170	PF00005;PF00528;PF09383		COG1135;COG2011
171	PF03830;PF03609	TIGR00854;TIGR00822	COG3444;COG3715
172	PF00528;PF01547		COG4209;COG1653
173	PF00005;PF03649	TIGR00245	COG1117;COG0390
174	PF00005;PF02687		COG1136
175	PF00005		COG1126;COG0834
176	PF00005;PF02687		COG0577;COG1136
177	PF12538;PF10140;PF01580	TIGR03926;TIGR03928	COG4499
178	PF00005;PF01032		COG4604;COG4605
