97	PF00005;PF05025		COG1869;COG1129
98	PF00005	TIGR00972	COG1117
99	PF00893		COG2076
100	PF00893		COG2076
101	PF00005	TIGR00972	COG1117
102	PF00005;PF05025		COG1869;COG1129
103	PF00005	TIGR04520;TIGR04521	COG1122
104	PF02080;PF00999		COG0490;COG0475
105	PF01899;PF00361		COG1863;COG0651
106	PF00361;PF00420		COG0651;COG1006
107	PF00528;PF12911		COG1173;COG0601
108	PF00361;PF04066		COG0651;COG2212
109	PF13244;PF00361;PF04039;PF00662	TIGR00940	COG1009;COG2111
110	PF04066;PF03334	TIGR01300	COG1320;COG2212
111	PF01899;PF04066		COG1863;COG2212
112	PF01899;PF03334	TIGR01300	COG1320;COG1863
113	PF04039;PF00420		COG1006;COG2111
114	PF00361;PF04039		COG0651;COG2111
115	PF13244;PF00361;PF00420;PF00662	TIGR00940	COG1009;COG1006;COG2111
116	PF00005		COG1126;COG0834
117	PF02378;PF05524;PF00367;PF00391;PF00358;PF02896	TIGR02002;TIGR00852;TIGR01417;TIGR00830;TIGR00826	COG2190;COG1264;COG1080;COG1263
118	PF00005;PF00664		COG1132
119	PF00005;PF02687;PF12704		COG0577;COG1136
120	PF00528		COG1174
121	PF04066;PF03334	TIGR01300	COG1320;COG2212
122	PF00005;PF01297		COG0803;COG1121
123	PF03591;PF05437	TIGR00346	COG1687;COG1296
124			COG0834
125	PF00005		COG4555;COG1668
126	PF00528;PF01547		COG0395;COG1653
127	PF00005;PF00528;PF00571	TIGR01186	COG1174;COG1125
128	PF00005;PF00528	TIGR01726	COG1126;COG0765
129	PF00005;PF00528	TIGR00974;TIGR00972	COG1117;COG0581
130	PF00005;PF13407		COG1879;COG1129
131	PF00528		COG0395;COG1653
132	PF02378;PF08279;PF00874;PF05043;PF02302;PF00359	TIGR00829;TIGR00848;TIGR01427	COG1299;COG3711;COG1762;COG1445
133	PF00005;PF00528	TIGR01726	COG1126;COG0765
134	PF01899;PF04066		COG1863;COG2212
135	PF00005;PF00571;PF04069	TIGR01186	COG1732;COG1125
136	PF01032		COG0609
137	PF00528		COG0395;COG1653
138	PF00528;PF09084	TIGR01728	COG0600;COG0715
139	PF07690	TIGR00711	COG1566
140	PF00005;PF00528;PF12911;PF08352	TIGR01727	COG0444;COG1173
141	PF00528;PF04069		COG1174;COG1732
142	PF00005;PF00528	TIGR01726	COG1126;COG0765
143	PF00496;PF00528		COG4166;COG0601
144	PF00528		COG0395;COG4209
145	PF00005;PF00528	TIGR02138;TIGR00972	COG1117;COG0573
146	PF02378;PF01182;PF00358;PF00367	TIGR02002;TIGR00502;TIGR00830;TIGR00826	COG0363;COG2190
147	PF00005		COG1131;COG0842
148	PF00005;PF00528	TIGR01726	COG1126;COG0765
149	PF00528		COG1175;COG0395
150	PF01032;PF01497		COG4605;COG4607
151	PF00528	TIGR01726	COG0834;COG0765
152	PF01032;PF01497		COG4594;COG0609
153	PF00528	TIGR01726	COG0834;COG0765
154	PF00005;PF01032		COG4604;COG4606
155	PF00005;PF02687	TIGR02673	COG2884;COG2177
156	PF02378;PF08279;PF00874;PF05043;PF00359	TIGR00359;TIGR00410	COG3711;COG1762;COG1455
