TCluster	PFAM	TIGRFAM	COG
T56	PF00528|PF14785|PF12911	TIGR03255|TIGR01726|TIGR01183|TIGR03003|TIGR00974|TIGR03004|TIGR00969|TIGR01097|TIGR01253|TIGR03226|TIGR02790|TIGR02139|TIGR02138|TIGR02789|TIGR02140|TIGR02141	COG1175|COG3833|COG1177|COG1176|COG0555|COG1173|COG1174|COG0573|COG1178|COG0600|COG0601|COG4208|COG4160|COG2011|COG4168|COG3639|COG4149|COG4597|COG0581|COG4176|COG0765|COG0395|COG4209|COG4239|COG4171|COG4174|COG4215|COG4662|COG4135
T57	PF00474	TIGR00813|TIGR02119|TIGR02711|TIGR02121|TIGR03648	COG4145|COG4147|COG0591|COG4146
T101		TIGR02634	COG4213
T100	PF08817	TIGR03920	
T103	PF00482	TIGR02120	COG1459
T102	PF13103|PF03544	TIGR01352	COG0810
T105		TIGR00971	COG4150|COG1613
T104	PF02133	TIGR00800	COG1457|COG1953
T107	PF01311	TIGR01401	COG4791
T106		TIGR01102	COG4790
T109	PF01032		COG0609|COG4779|COG4605|COG4606|COG4139
T108	PF09515	TIGR02357	
T167	PF03253		COG4413
T166	PF09783		COG5073
T165		TIGR01497	COG2216
T164		TIGR01399	COG4789
T163	PF05025		COG1869
T162		TIGR02551	COG1886
T8		TIGR03025|TIGR03022|TIGR03023	
T9	PF10661	TIGR03927	
T6	PF03151|PF00892|PF08449|PF06379|PF04142|PF06800	TIGR00803|TIGR00950|TIGR00776	COG5070|COG0697|COG2962|COG5006|COG4975
T7	PF03958|PF00263|PF07660|PF00593|PF07715	TIGR02517|TIGR02516|TIGR01783|TIGR01776|TIGR01786|TIGR01785|TIGR01779|TIGR04056|TIGR04057	COG1450|COG4796|COG1629
T4	PF01297		COG0803|COG4531
T5		TIGR02568|TIGR02511	
