	dataset	diversity	num_taxa	rank	sample	taxa	transporter	substrate_category	type	name	abbreviation
0	mg	3.0264672352149113	20	order	120314	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
1	mg	2.7878924795833147	22	order	120322	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
2	mg	3.681905474356667	20	order	120328	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
3	mg	3.169746765891236	13	order	120403	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
4	mg	3.088875108815461	13	order	120416	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
5	mg	3.3977259776101647	19	order	120419	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
6	mg	3.1529625569310236	14	order	120423	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
7	mg	2.9661006943051085	13	order	120516	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
8	mg	3.2187880641063797	19	order	120531	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
9	mg	2.9229000779993446	11	order	120604	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
10	mg	3.153316051971337	18	order	120613	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
11	mg	2.9562136268604657	18	order	120619	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
12	mg	3.1507628607516174	16	order	120628	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
13	mg	3.020799299225971	15	order	120705	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
14	mg	3.0124226773443565	14	order	120709	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
15	mg	3.12789732865123	13	order	120717	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
16	mg	3.355287903162085	22	order	120802	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
17	mg	3.4650352668603097	19	order	120806	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
18	mg	3.102797382681691	23	order	120813	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
19	mg	2.874959952582254	20	order	120820	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
20	mg	3.407839689738731	20	order	120823	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
21	mg	3.140341436748573	15	order	120828	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
22	mg	3.2492736541739187	16	order	120903	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
23	mg	3.288902241136623	26	order	120920	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
24	mg	3.094471291800091	22	order	120924	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
25	mg	3.089364484734063	21	order	121001	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
26	mg	3.031533061802173	16	order	121004	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
27	mg	3.353352227314453	21	order	121015	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
28	mg	3.4882420092946704	17	order	121022	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
29	mg	3.3055125262520724	21	order	121028	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
30	mg	2.8864360531149695	13	order	121105	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
31	mg	3.5894921487447506	21	order	121128	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
32	mg	3.3939192510680303	27	order	121220	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
0	mg	2.923694315883824	18	order	120314	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
1	mg	2.684621106396737	20	order	120322	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
2	mg	3.473919788726097	18	order	120328	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
3	mg	3.034126759930515	11	order	120403	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
4	mg	2.8655997583819084	11	order	120416	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
5	mg	3.2038320742647435	16	order	120419	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
6	mg	2.961588762460077	11	order	120423	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
7	mg	2.7917711891198693	11	order	120516	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
8	mg	2.8603950366669486	14	order	120531	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
9	mg	2.6512499104516425	9	order	120604	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
10	mg	3.039850931795588	16	order	120613	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
11	mg	2.5015862147590124	13	order	120619	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
12	mg	2.8443273590243234	13	order	120628	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
13	mg	2.739391629529658	12	order	120705	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
14	mg	2.7978497479209246	12	order	120709	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
15	mg	2.9568006229453543	11	order	120717	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
16	mg	3.1624104082741717	18	order	120802	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
17	mg	3.3179043559967973	14	order	120806	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
18	mg	3.235296116543531	19	order	120813	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
19	mg	2.5617771695372022	16	order	120820	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
20	mg	3.139039384491425	18	order	120823	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
21	mg	2.8700219288756275	12	order	120828	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
22	mg	2.9930429488986383	13	order	120903	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
23	mg	3.0323756002831637	21	order	120920	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
24	mg	2.7867215675475103	19	order	120924	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
25	mg	2.8594364999209345	19	order	121001	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
26	mg	2.793735575132291	14	order	121004	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
27	mg	3.0463860386633943	18	order	121015	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
28	mg	3.2323833896410115	15	order	121022	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
29	mg	3.1108512615519888	16	order	121028	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
30	mg	2.8186922143621502	11	order	121105	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
31	mg	3.3274694563750487	18	order	121128	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
32	mg	3.2332807909329206	23	order	121220	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
0	mg	-1	0	order	120314	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
1	mg	-1	0	order	120322	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
2	mg	-1	0	order	120328	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
3	mg	-1	0	order	120403	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
4	mg	-1	0	order	120416	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
5	mg	-1	0	order	120419	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
6	mg	-1	0	order	120423	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
7	mg	-1	0	order	120516	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
8	mg	-1	0	order	120531	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
9	mg	-1	0	order	120604	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
10	mg	-1	0	order	120613	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
11	mg	-1	0	order	120619	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
12	mg	-1	0	order	120628	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
13	mg	-1	0	order	120705	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
14	mg	-1	0	order	120709	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
15	mg	-1	0	order	120717	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
16	mg	-1	0	order	120802	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
17	mg	-1	0	order	120806	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
18	mg	-1	0	order	120813	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
19	mg	-1	0	order	120820	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
20	mg	-1	0	order	120823	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
21	mg	-1	0	order	120828	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
22	mg	-1	0	order	120903	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
23	mg	-1	0	order	120920	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
24	mg	-1	0	order	120924	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
25	mg	-1	0	order	121001	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
26	mg	-1	0	order	121004	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
27	mg	-1	0	order	121015	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
28	mg	-1	0	order	121022	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
29	mg	-1	0	order	121028	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
30	mg	-1	0	order	121105	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
31	mg	-1	0	order	121128	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
32	mg	-1	0	order	121220	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
0	mg	0.45993891171825463	2	order	120314	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
1	mg	0.6846381685252473	2	order	120322	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
2	mg	0.9693444409934002	2	order	120328	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
3	mg	0.9955328176165738	2	order	120403	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
4	mg	0.9971182013394712	2	order	120416	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
5	mg	0.6483948161694782	3	order	120419	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
6	mg	1.571353690533523	3	order	120423	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
7	mg	0.9999356203866125	2	order	120516	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
8	mg	1.2114112351093709	5	order	120531	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
9	mg	0.618973256945573	2	order	120604	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
10	mg	0.4282131328497174	2	order	120613	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
11	mg	1.0783565198270313	5	order	120619	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
12	mg	1.154193076892487	3	order	120628	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
13	mg	0.8155647131730157	3	order	120705	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
14	mg	0.17730333641289853	2	order	120709	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
15	mg	0.24062430719632397	2	order	120717	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
16	mg	0.6226065083061764	4	order	120802	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
17	mg	0.8972156477135396	5	order	120806	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
18	mg	0.26763511481896957	4	order	120813	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
19	mg	1.549227376606027	4	order	120820	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
20	mg	0.8619122391238498	2	order	120823	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
21	mg	0.6804312208319538	3	order	120828	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
22	mg	0.6332813381197735	3	order	120903	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
23	mg	0.7051469698823636	5	order	120920	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
24	mg	0.824323630411956	3	order	120924	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
25	mg	0.33341622076350497	2	order	121001	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
26	mg	0.32471638581421447	2	order	121004	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
27	mg	1.0586566779414313	3	order	121015	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
28	mg	0.9173551325920765	2	order	121022	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
29	mg	1.3549113478936854	5	order	121028	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
30	mg	0.9700069566441489	2	order	121105	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
31	mg	1.1634420753494314	3	order	121128	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
32	mg	1.8610948395155436	4	order	121220	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
0	mt	2.6608448878502404	9	order	120516	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
1	mt	1.5485932443001473	10	order	120613	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
2	mt	3.0383767328145646	13	order	120712	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
3	mt	2.132800075581121	12	order	120813	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
4	mt	2.263921467145313	15	order	120927	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
5	mt	2.753258894672675	13	order	121024	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
6	mt	2.9983328764279693	17	order	121220	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
7	mt	2.2975506320699557	14	order	130123	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
8	mt	3.461432564497334	15	order	130226	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
9	mt	3.267754774796061	14	order	130403	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
10	mt	1.8941074176863864	7	order	130416	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
11	mt	2.662389466577667	9	order	130422	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
12	mt	2.640691199406356	7	order	130507	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
13	mt	2.616508742453373	8	order	130605	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
14	mt	2.5023458591098766	10	order	130705	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
15	mt	1.6783084543013806	17	order	130815	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
16	mt	2.7904530022216725	9	order	130905	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
17	mt	2.2385203840331775	7	order	131003	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
18	mt	2.259297447002377	11	order	140408	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
19	mt	1.6751847945901455	4	order	140506	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
20	mt	2.211024844944417	11	order	140604	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
21	mt	2.1942101864210635	7	order	140709	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
22	mt	2.798579119680369	13	order	140820	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
23	mt	2.604820221776027	12	order	140916	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
24	mt	2.0553583000018936	8	order	141013	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
0	mt	2.105378180149638	5	order	120516	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
1	mt	2.7193257671483773	8	order	120613	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
2	mt	2.700402572041896	10	order	120712	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
3	mt	2.804086435586281	8	order	120813	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
4	mt	2.92074948946274	13	order	120927	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
5	mt	2.8432208480240564	10	order	121024	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
6	mt	2.4640157453733806	12	order	121220	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
7	mt	2.168930475228753	12	order	130123	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
8	mt	2.936948633904838	11	order	130226	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
9	mt	2.8626214962101018	11	order	130403	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
10	mt	1.5871128610331948	5	order	130416	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
11	mt	2.482361305734412	7	order	130422	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
12	mt	2.394110784006454	6	order	130507	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
13	mt	2.0968315188995263	6	order	130605	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
14	mt	2.2410862161239864	7	order	130705	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
15	mt	3.0135394583166795	14	order	130815	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
16	mt	2.37387765400472	6	order	130905	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
17	mt	1.7766653895197395	4	order	131003	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
18	mt	2.3890052425418573	8	order	140408	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
19	mt	0.4550626588611732	2	order	140506	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
20	mt	2.4590883648901176	8	order	140604	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
21	mt	1.6336106436099955	5	order	140709	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
22	mt	2.6795646411543843	11	order	140820	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
23	mt	2.65312526212641	10	order	140916	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
24	mt	2.2000122875603494	6	order	141013	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
0	mt	-1	0	order	120516	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
1	mt	-1	0	order	120613	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
2	mt	-1	0	order	120712	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
3	mt	-1	0	order	120813	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
4	mt	-1	0	order	120927	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
5	mt	-1	0	order	121024	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
6	mt	-1	0	order	121220	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
7	mt	-1	0	order	130123	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
8	mt	-1	0	order	130226	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
9	mt	-1	0	order	130403	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
10	mt	-1	0	order	130416	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
11	mt	-1	0	order	130422	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
12	mt	-1	0	order	130507	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
13	mt	-1	0	order	130605	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
14	mt	-1	0	order	130705	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
15	mt	-1	0	order	130815	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
16	mt	-1	0	order	130905	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
17	mt	-1	0	order	131003	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
18	mt	-1	0	order	140408	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
19	mt	-1	0	order	140506	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
20	mt	-1	0	order	140604	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
21	mt	-1	0	order	140709	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
22	mt	-1	0	order	140820	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
23	mt	-1	0	order	140916	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
24	mt	-1	0	order	141013	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
0	mt	1.6623562355002413	4	order	120516	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
1	mt	0.16969729038817657	2	order	120613	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
2	mt	1.1507076184429406	3	order	120712	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
3	mt	1.5311116550460429	4	order	120813	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
4	mt	0.7316838568366125	2	order	120927	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
5	mt	0.9960903063851513	3	order	121024	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
6	mt	1.9203685162460273	5	order	121220	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
7	mt	0.9601992553435769	2	order	130123	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
8	mt	1.750609973043842	4	order	130226	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
9	mt	1.3369101995834727	3	order	130403	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
10	mt	0.6472435143640314	2	order	130416	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
11	mt	0.7894269937582122	2	order	130422	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
12	mt	-0.0	1	order	130507	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
13	mt	0.915071867000021	2	order	130605	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
14	mt	0.770540114103675	3	order	130705	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
15	mt	0.2119266064107678	3	order	130815	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
16	mt	1.1212074815087247	3	order	130905	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
17	mt	0.9965940275026294	3	order	131003	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
18	mt	0.41197144350491705	3	order	140408	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
19	mt	0.9580096485094273	2	order	140506	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
20	mt	1.1262126539277506	3	order	140604	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
21	mt	0.8764662704809298	2	order	140709	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
22	mt	0.8091272899185667	2	order	140820	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
23	mt	0.9669238304783845	2	order	140916	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
24	mt	0.6498783509812153	2	order	141013	Cyanobacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
33	mg	1.7385642304472217	4	order	120314	all	T758	Cations	3a	cbiO: cobalt ABC transporter	CAT
34	mg	0.9963803637909985	5	order	120322	all	T758	Cations	3a	cbiO: cobalt ABC transporter	CAT
35	mg	1.278179521545529	3	order	120328	all	T758	Cations	3a	cbiO: cobalt ABC transporter	CAT
36	mg	1.282807654898444	3	order	120403	all	T758	Cations	3a	cbiO: cobalt ABC transporter	CAT
37	mg	1.286272487111594	3	order	120416	all	T758	Cations	3a	cbiO: cobalt ABC transporter	CAT
38	mg	1.4329154081889879	5	order	120419	all	T758	Cations	3a	cbiO: cobalt ABC transporter	CAT
39	mg	0.9901972936457587	2	order	120423	all	T758	Cations	3a	cbiO: cobalt ABC transporter	CAT
40	mg	0.8242305151557541	2	order	120516	all	T758	Cations	3a	cbiO: cobalt ABC transporter	CAT
41	mg	0.9656334341994474	3	order	120531	all	T758	Cations	3a	cbiO: cobalt ABC transporter	CAT
42	mg	0.9915442517358255	4	order	120604	all	T758	Cations	3a	cbiO: cobalt ABC transporter	CAT
43	mg	0.46595437238828996	2	order	120613	all	T758	Cations	3a	cbiO: cobalt ABC transporter	CAT
44	mg	0.35001376858635014	4	order	120619	all	T758	Cations	3a	cbiO: cobalt ABC transporter	CAT
45	mg	0.11850183503494167	2	order	120628	all	T758	Cations	3a	cbiO: cobalt ABC transporter	CAT
46	mg	0.25358083227304334	3	order	120705	all	T758	Cations	3a	cbiO: cobalt ABC transporter	CAT
47	mg	0.047584728447314255	2	order	120709	all	T758	Cations	3a	cbiO: cobalt ABC transporter	CAT
48	mg	0.12213889268098153	2	order	120717	all	T758	Cations	3a	cbiO: cobalt ABC transporter	CAT
49	mg	0.6859117872624503	4	order	120802	all	T758	Cations	3a	cbiO: cobalt ABC transporter	CAT
50	mg	0.9045065681549799	4	order	120806	all	T758	Cations	3a	cbiO: cobalt ABC transporter	CAT
51	mg	0.3812640076357426	3	order	120813	all	T758	Cations	3a	cbiO: cobalt ABC transporter	CAT
52	mg	0.8222878555317572	3	order	120820	all	T758	Cations	3a	cbiO: cobalt ABC transporter	CAT
53	mg	0.6526672806817616	5	order	120823	all	T758	Cations	3a	cbiO: cobalt ABC transporter	CAT
54	mg	0.3788384402886058	3	order	120828	all	T758	Cations	3a	cbiO: cobalt ABC transporter	CAT
55	mg	0.10282188479823472	2	order	120903	all	T758	Cations	3a	cbiO: cobalt ABC transporter	CAT
56	mg	0.3528022735622555	5	order	120920	all	T758	Cations	3a	cbiO: cobalt ABC transporter	CAT
57	mg	0.9247655233248716	5	order	120924	all	T758	Cations	3a	cbiO: cobalt ABC transporter	CAT
58	mg	0.5286385073226558	4	order	121001	all	T758	Cations	3a	cbiO: cobalt ABC transporter	CAT
59	mg	0.298125822024885	3	order	121004	all	T758	Cations	3a	cbiO: cobalt ABC transporter	CAT
60	mg	0.7264004643208902	4	order	121015	all	T758	Cations	3a	cbiO: cobalt ABC transporter	CAT
61	mg	0.5437038357770958	2	order	121022	all	T758	Cations	3a	cbiO: cobalt ABC transporter	CAT
62	mg	0.7469590363395363	5	order	121028	all	T758	Cations	3a	cbiO: cobalt ABC transporter	CAT
